train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,67.5,67.5,0.35,,,,,,,,,,,,
lee2019,cho2017,eegnet,2,200,58.0,58.0,0.16,,,,,,,,,,,,
lee2019,cho2017,eegnet,3,200,89.0,89.0,0.78,,,,,,,,,,,,
lee2019,cho2017,eegnet,4,200,80.5,80.5,0.61,,,,,,,,,,,,
lee2019,cho2017,eegnet,5,200,68.0,68.0,0.36,,,,,,,,,,,,
lee2019,cho2017,eegnet,6,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,eegnet,7,240,60.4,60.4,0.208,,,,,,,,,,,,
lee2019,cho2017,eegnet,8,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,eegnet,9,240,72.9,72.9,0.458,,,,,,,,,,,,
lee2019,cho2017,eegnet,10,200,80.5,80.5,0.61,,,,,,,,,,,,
lee2019,cho2017,eegnet,11,200,62.5,62.5,0.25,,,,,,,,,,,,
lee2019,cho2017,eegnet,12,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,eegnet,13,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,eegnet,14,200,89.5,89.5,0.79,,,,,,,,,,,,
lee2019,cho2017,eegnet,15,200,66.0,66.0,0.32,,,,,,,,,,,,
lee2019,cho2017,eegnet,16,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,eegnet,17,200,48.0,48.0,-0.04,,,,,,,,,,,,
lee2019,cho2017,eegnet,18,200,58.0,58.0,0.16,,,,,,,,,,,,
lee2019,cho2017,eegnet,19,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,eegnet,20,200,55.0,55.0,0.1,,,,,,,,,,,,
lee2019,cho2017,eegnet,21,200,75.0,75.0,0.5,,,,,,,,,,,,
lee2019,cho2017,eegnet,22,200,68.5,68.5,0.37,,,,,,,,,,,,
lee2019,cho2017,eegnet,23,200,79.5,79.5,0.59,,,,,,,,,,,,
lee2019,cho2017,eegnet,24,200,73.5,73.5,0.47,,,,,,,,,,,,
lee2019,cho2017,eegnet,25,200,70.0,70.0,0.4,,,,,,,,,,,,
lee2019,cho2017,eegnet,26,200,63.5,63.5,0.27,,,,,,,,,,,,
lee2019,cho2017,eegnet,27,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,eegnet,28,200,48.0,48.0,-0.04,,,,,,,,,,,,
lee2019,cho2017,eegnet,29,200,54.5,54.5,0.09,,,,,,,,,,,,
lee2019,cho2017,eegnet,30,200,59.5,59.5,0.19,,,,,,,,,,,,
lee2019,cho2017,eegnet,31,200,61.5,61.5,0.23,,,,,,,,,,,,
lee2019,cho2017,eegnet,32,200,51.0,51.0,0.02,,,,,,,,,,,,
lee2019,cho2017,eegnet,33,200,61.0,61.0,0.22,,,,,,,,,,,,
lee2019,cho2017,eegnet,34,200,57.5,57.5,0.15,,,,,,,,,,,,
lee2019,cho2017,eegnet,35,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,eegnet,36,200,71.5,71.5,0.43,,,,,,,,,,,,
lee2019,cho2017,eegnet,37,200,54.5,54.5,0.09,,,,,,,,,,,,
lee2019,cho2017,eegnet,38,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,eegnet,39,200,64.5,64.5,0.29,,,,,,,,,,,,
lee2019,cho2017,eegnet,40,200,48.0,48.0,-0.04,,,,,,,,,,,,
lee2019,cho2017,eegnet,41,200,88.5,88.5,0.77,,,,,,,,,,,,
lee2019,cho2017,eegnet,42,200,65.5,65.5,0.31,,,,,,,,,,,,
lee2019,cho2017,eegnet,43,200,92.0,92.0,0.84,,,,,,,,,,,,
lee2019,cho2017,eegnet,44,200,67.0,67.0,0.34,,,,,,,,,,,,
lee2019,cho2017,eegnet,45,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,eegnet,46,240,58.8,58.8,0.175,,,,,,,,,,,,
lee2019,cho2017,eegnet,47,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,eegnet,48,200,88.5,88.5,0.77,,,,,,,,,,,,
lee2019,cho2017,eegnet,49,200,59.5,59.5,0.19,,,,,,,,,,,,
lee2019,cho2017,eegnet,50,200,68.5,68.5,0.37,,,,,,,,,,,,
lee2019,cho2017,eegnet,51,200,62.5,62.5,0.25,,,,,,,,,,,,
lee2019,cho2017,eegnet,52,200,66.0,66.0,0.32,,,,,,,,,,,,
