train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,eegnet,1,200,82.5,82.5,0.65,,,,,,,,,,,,
cho2017,lee2019,eegnet,2,200,77.5,77.5,0.55,,,,,,,,,,,,
cho2017,lee2019,eegnet,3,200,91.0,91.0,0.82,,,,,,,,,,,,
cho2017,lee2019,eegnet,4,200,65.5,65.5,0.31,,,,,,,,,,,,
cho2017,lee2019,eegnet,5,200,85.0,85.0,0.7,,,,,,,,,,,,
cho2017,lee2019,eegnet,6,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,eegnet,7,200,62.5,62.5,0.25,,,,,,,,,,,,
cho2017,lee2019,eegnet,8,200,81.5,81.5,0.63,,,,,,,,,,,,
cho2017,lee2019,eegnet,9,200,82.5,82.5,0.65,,,,,,,,,,,,
cho2017,lee2019,eegnet,10,200,63.0,63.0,0.26,,,,,,,,,,,,
cho2017,lee2019,eegnet,11,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,eegnet,12,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,eegnet,13,200,55.5,55.5,0.11,,,,,,,,,,,,
cho2017,lee2019,eegnet,14,200,75.0,75.0,0.5,,,,,,,,,,,,
cho2017,lee2019,eegnet,15,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,eegnet,16,200,64.5,64.5,0.29,,,,,,,,,,,,
cho2017,lee2019,eegnet,17,200,76.0,76.0,0.52,,,,,,,,,,,,
cho2017,lee2019,eegnet,18,200,92.5,92.5,0.85,,,,,,,,,,,,
cho2017,lee2019,eegnet,19,200,78.5,78.5,0.57,,,,,,,,,,,,
cho2017,lee2019,eegnet,20,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,eegnet,21,200,94.5,94.5,0.89,,,,,,,,,,,,
cho2017,lee2019,eegnet,22,200,67.5,67.5,0.35,,,,,,,,,,,,
cho2017,lee2019,eegnet,23,200,76.5,76.5,0.53,,,,,,,,,,,,
cho2017,lee2019,eegnet,24,200,56.5,56.5,0.13,,,,,,,,,,,,
cho2017,lee2019,eegnet,25,200,60.0,60.0,0.2,,,,,,,,,,,,
cho2017,lee2019,eegnet,26,200,55.5,55.5,0.11,,,,,,,,,,,,
cho2017,lee2019,eegnet,27,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,eegnet,28,200,85.5,85.5,0.71,,,,,,,,,,,,
cho2017,lee2019,eegnet,29,200,67.5,67.5,0.35,,,,,,,,,,,,
cho2017,lee2019,eegnet,30,200,73.5,73.5,0.47,,,,,,,,,,,,
cho2017,lee2019,eegnet,31,200,66.5,66.5,0.33,,,,,,,,,,,,
cho2017,lee2019,eegnet,32,200,93.5,93.5,0.87,,,,,,,,,,,,
cho2017,lee2019,eegnet,33,200,92.5,92.5,0.85,,,,,,,,,,,,
cho2017,lee2019,eegnet,34,200,45.0,45.0,-0.1,,,,,,,,,,,,
cho2017,lee2019,eegnet,35,200,51.5,51.5,0.03,,,,,,,,,,,,
cho2017,lee2019,eegnet,36,200,83.5,83.5,0.67,,,,,,,,,,,,
cho2017,lee2019,eegnet,37,200,96.5,96.5,0.93,,,,,,,,,,,,
cho2017,lee2019,eegnet,38,200,62.5,62.5,0.25,,,,,,,,,,,,
cho2017,lee2019,eegnet,39,200,85.5,85.5,0.71,,,,,,,,,,,,
cho2017,lee2019,eegnet,40,200,63.5,63.5,0.27,,,,,,,,,,,,
cho2017,lee2019,eegnet,41,200,60.0,60.0,0.2,,,,,,,,,,,,
cho2017,lee2019,eegnet,42,200,69.5,69.5,0.39,,,,,,,,,,,,
cho2017,lee2019,eegnet,43,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,eegnet,44,200,88.0,88.0,0.76,,,,,,,,,,,,
cho2017,lee2019,eegnet,45,200,79.0,79.0,0.58,,,,,,,,,,,,
cho2017,lee2019,eegnet,46,200,74.0,74.0,0.48,,,,,,,,,,,,
cho2017,lee2019,eegnet,47,200,68.5,68.5,0.37,,,,,,,,,,,,
cho2017,lee2019,eegnet,48,200,51.0,51.0,0.02,,,,,,,,,,,,
cho2017,lee2019,eegnet,49,200,68.0,68.0,0.36,,,,,,,,,,,,
cho2017,lee2019,eegnet,50,200,54.5,54.5,0.09,,,,,,,,,,,,
cho2017,lee2019,eegnet,51,200,67.0,67.0,0.34,,,,,,,,,,,,
cho2017,lee2019,eegnet,52,200,67.0,67.0,0.34,,,,,,,,,,,,
cho2017,lee2019,eegnet,53,200,61.0,61.0,0.22,,,,,,,,,,,,
cho2017,lee2019,eegnet,54,200,53.5,53.5,0.07,,,,,,,,,,,,
