train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,60.0,60.0,0.2,,,,57.5,57.5,0.15,,,,,,
lee2019,cho2017,eegnet,2,200,49.0,49.0,-0.02,,,,54.0,54.0,0.08,,,,,,
lee2019,cho2017,eegnet,3,200,77.5,77.5,0.55,,,,86.0,86.0,0.72,,,,,,
lee2019,cho2017,eegnet,4,200,66.0,66.0,0.32,,,,88.0,88.0,0.76,,,,,,
lee2019,cho2017,eegnet,5,200,58.0,58.0,0.16,,,,59.5,59.5,0.19,,,,,,
lee2019,cho2017,eegnet,6,200,52.0,52.0,0.04,,,,54.0,54.0,0.08,,,,,,
lee2019,cho2017,eegnet,7,240,51.7,51.7,0.033,,,,53.3,53.3,0.067,,,,,,
lee2019,cho2017,eegnet,8,200,53.0,53.0,0.06,,,,56.0,56.0,0.12,,,,,,
lee2019,cho2017,eegnet,9,240,60.4,60.4,0.208,,,,72.9,72.9,0.458,,,,,,
lee2019,cho2017,eegnet,10,200,66.0,66.0,0.32,,,,81.0,81.0,0.62,,,,,,
lee2019,cho2017,eegnet,11,200,56.5,56.5,0.13,,,,62.0,62.0,0.24,,,,,,
lee2019,cho2017,eegnet,12,200,55.0,55.0,0.1,,,,64.0,64.0,0.28,,,,,,
lee2019,cho2017,eegnet,13,200,52.0,52.0,0.04,,,,51.5,51.5,0.03,,,,,,
lee2019,cho2017,eegnet,14,200,58.5,58.5,0.17,,,,84.5,84.5,0.69,,,,,,
lee2019,cho2017,eegnet,15,200,56.0,56.0,0.12,,,,65.0,65.0,0.3,,,,,,
lee2019,cho2017,eegnet,16,200,52.0,52.0,0.04,,,,60.0,60.0,0.2,,,,,,
lee2019,cho2017,eegnet,17,200,51.0,51.0,0.02,,,,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,eegnet,18,200,51.5,51.5,0.03,,,,56.5,56.5,0.13,,,,,,
lee2019,cho2017,eegnet,19,200,55.5,55.5,0.11,,,,64.0,64.0,0.28,,,,,,
lee2019,cho2017,eegnet,20,200,54.5,54.5,0.09,,,,61.5,61.5,0.23,,,,,,
