train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,67.5,67.5,0.35,,,,,,,,,,,,
lee2019,cho2017,conformer,2,200,58.5,58.5,0.17,,,,,,,,,,,,
lee2019,cho2017,conformer,3,200,93.0,93.0,0.86,,,,,,,,,,,,
lee2019,cho2017,conformer,4,200,91.5,91.5,0.83,,,,,,,,,,,,
lee2019,cho2017,conformer,5,200,67.0,67.0,0.34,,,,,,,,,,,,
lee2019,cho2017,conformer,6,200,58.5,58.5,0.17,,,,,,,,,,,,
lee2019,cho2017,conformer,7,240,58.3,58.3,0.167,,,,,,,,,,,,
lee2019,cho2017,conformer,8,200,57.0,57.0,0.14,,,,,,,,,,,,
lee2019,cho2017,conformer,9,240,74.6,74.6,0.492,,,,,,,,,,,,
lee2019,cho2017,conformer,10,200,85.0,85.0,0.7,,,,,,,,,,,,
lee2019,cho2017,conformer,11,200,72.0,72.0,0.44,,,,,,,,,,,,
lee2019,cho2017,conformer,12,200,75.0,75.0,0.5,,,,,,,,,,,,
lee2019,cho2017,conformer,13,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,conformer,14,200,91.5,91.5,0.83,,,,,,,,,,,,
lee2019,cho2017,conformer,15,200,77.0,77.0,0.54,,,,,,,,,,,,
lee2019,cho2017,conformer,16,200,61.5,61.5,0.23,,,,,,,,,,,,
lee2019,cho2017,conformer,17,200,53.0,53.0,0.06,,,,,,,,,,,,
lee2019,cho2017,conformer,18,200,64.0,64.0,0.28,,,,,,,,,,,,
lee2019,cho2017,conformer,19,200,73.0,73.0,0.46,,,,,,,,,,,,
lee2019,cho2017,conformer,20,200,68.5,68.5,0.37,,,,,,,,,,,,
lee2019,cho2017,conformer,21,200,79.0,79.0,0.58,,,,,,,,,,,,
lee2019,cho2017,conformer,22,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,conformer,23,200,88.0,88.0,0.76,,,,,,,,,,,,
lee2019,cho2017,conformer,24,200,73.0,73.0,0.46,,,,,,,,,,,,
lee2019,cho2017,conformer,25,200,78.0,78.0,0.56,,,,,,,,,,,,
lee2019,cho2017,conformer,26,200,71.0,71.0,0.42,,,,,,,,,,,,
lee2019,cho2017,conformer,27,200,62.0,62.0,0.24,,,,,,,,,,,,
lee2019,cho2017,conformer,28,200,49.5,49.5,-0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,29,200,56.5,56.5,0.13,,,,,,,,,,,,
lee2019,cho2017,conformer,30,200,74.0,74.0,0.48,,,,,,,,,,,,
lee2019,cho2017,conformer,31,200,72.0,72.0,0.44,,,,,,,,,,,,
lee2019,cho2017,conformer,32,200,47.5,47.5,-0.05,,,,,,,,,,,,
lee2019,cho2017,conformer,33,200,61.0,61.0,0.22,,,,,,,,,,,,
lee2019,cho2017,conformer,34,200,53.0,53.0,0.06,,,,,,,,,,,,
lee2019,cho2017,conformer,35,200,60.0,60.0,0.2,,,,,,,,,,,,
lee2019,cho2017,conformer,36,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,conformer,37,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,conformer,38,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,conformer,39,200,77.0,77.0,0.54,,,,,,,,,,,,
lee2019,cho2017,conformer,40,200,47.0,47.0,-0.06,,,,,,,,,,,,
lee2019,cho2017,conformer,41,200,92.0,92.0,0.84,,,,,,,,,,,,
lee2019,cho2017,conformer,42,200,66.0,66.0,0.32,,,,,,,,,,,,
lee2019,cho2017,conformer,43,200,98.0,98.0,0.96,,,,,,,,,,,,
lee2019,cho2017,conformer,44,200,76.0,76.0,0.52,,,,,,,,,,,,
lee2019,cho2017,conformer,45,200,63.5,63.5,0.27,,,,,,,,,,,,
lee2019,cho2017,conformer,46,240,76.2,76.2,0.525,,,,,,,,,,,,
lee2019,cho2017,conformer,47,200,70.0,70.0,0.4,,,,,,,,,,,,
lee2019,cho2017,conformer,48,200,89.5,89.5,0.79,,,,,,,,,,,,
lee2019,cho2017,conformer,49,200,62.0,62.0,0.24,,,,,,,,,,,,
lee2019,cho2017,conformer,50,200,63.5,63.5,0.27,,,,,,,,,,,,
lee2019,cho2017,conformer,51,200,64.0,64.0,0.28,,,,,,,,,,,,
lee2019,cho2017,conformer,52,200,81.0,81.0,0.62,,,,,,,,,,,,
