train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,66.5,66.5,0.33,,,,57.0,57.0,0.14,,,,,,
lee2019,cho2017,conformer,2,200,54.5,54.5,0.09,,,,51.5,51.5,0.03,,,,,,
lee2019,cho2017,conformer,3,200,88.0,88.0,0.76,,,,59.0,59.0,0.18,,,,,,
lee2019,cho2017,conformer,4,200,89.5,89.5,0.79,,,,85.0,85.0,0.7,,,,,,
lee2019,cho2017,conformer,5,200,71.0,71.0,0.42,,,,54.0,54.0,0.08,,,,,,
lee2019,cho2017,conformer,6,200,58.5,58.5,0.17,,,,57.5,57.5,0.15,,,,,,
lee2019,cho2017,conformer,7,240,53.8,53.8,0.075,,,,54.6,54.6,0.092,,,,,,
lee2019,cho2017,conformer,8,200,53.0,53.0,0.06,,,,50.0,50.0,0.0,,,,,,
lee2019,cho2017,conformer,9,240,72.5,72.5,0.45,,,,70.8,70.8,0.417,,,,,,
lee2019,cho2017,conformer,10,200,80.5,80.5,0.61,,,,70.5,70.5,0.41,,,,,,
lee2019,cho2017,conformer,11,200,68.5,68.5,0.37,,,,57.5,57.5,0.15,,,,,,
lee2019,cho2017,conformer,12,200,73.0,73.0,0.46,,,,72.5,72.5,0.45,,,,,,
lee2019,cho2017,conformer,13,200,47.5,47.5,-0.05,,,,50.0,50.0,0.0,,,,,,
lee2019,cho2017,conformer,14,200,93.0,93.0,0.86,,,,93.5,93.5,0.87,,,,,,
lee2019,cho2017,conformer,15,200,75.0,75.0,0.5,,,,74.0,74.0,0.48,,,,,,
lee2019,cho2017,conformer,16,200,57.5,57.5,0.15,,,,51.0,51.0,0.02,,,,,,
lee2019,cho2017,conformer,17,200,54.5,54.5,0.09,,,,51.0,51.0,0.02,,,,,,
lee2019,cho2017,conformer,18,200,62.5,62.5,0.25,,,,53.0,53.0,0.06,,,,,,
lee2019,cho2017,conformer,19,200,73.0,73.0,0.46,,,,68.0,68.0,0.36,,,,,,
lee2019,cho2017,conformer,20,200,68.5,68.5,0.37,,,,67.5,67.5,0.35,,,,,,
lee2019,cho2017,conformer,21,200,79.0,79.0,0.58,,,,72.5,72.5,0.45,,,,,,
lee2019,cho2017,conformer,22,200,71.0,71.0,0.42,,,,65.0,65.0,0.3,,,,,,
lee2019,cho2017,conformer,23,200,85.0,85.0,0.7,,,,78.0,78.0,0.56,,,,,,
lee2019,cho2017,conformer,24,200,69.5,69.5,0.39,,,,59.0,59.0,0.18,,,,,,
lee2019,cho2017,conformer,25,200,77.5,77.5,0.55,,,,65.0,65.0,0.3,,,,,,
lee2019,cho2017,conformer,26,200,67.0,67.0,0.34,,,,50.5,50.5,0.01,,,,,,
lee2019,cho2017,conformer,27,200,61.5,61.5,0.23,,,,50.0,50.0,0.0,,,,,,
lee2019,cho2017,conformer,28,200,50.0,50.0,0.0,,,,51.5,51.5,0.03,,,,,,
lee2019,cho2017,conformer,29,200,56.5,56.5,0.13,,,,51.5,51.5,0.03,,,,,,
lee2019,cho2017,conformer,30,200,66.5,66.5,0.33,,,,63.0,63.0,0.26,,,,,,
lee2019,cho2017,conformer,31,200,73.5,73.5,0.47,,,,69.5,69.5,0.39,,,,,,
lee2019,cho2017,conformer,32,200,45.0,45.0,-0.1,,,,51.5,51.5,0.03,,,,,,
lee2019,cho2017,conformer,33,200,59.0,59.0,0.18,,,,55.5,55.5,0.11,,,,,,
lee2019,cho2017,conformer,34,200,54.0,54.0,0.08,,,,56.0,56.0,0.12,,,,,,
lee2019,cho2017,conformer,35,200,57.0,57.0,0.14,,,,55.5,55.5,0.11,,,,,,
lee2019,cho2017,conformer,36,200,69.0,69.0,0.38,,,,72.0,72.0,0.44,,,,,,
lee2019,cho2017,conformer,37,200,49.5,49.5,-0.01,,,,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,conformer,38,200,65.5,65.5,0.31,,,,55.0,55.0,0.1,,,,,,
lee2019,cho2017,conformer,39,200,72.0,72.0,0.44,,,,59.5,59.5,0.19,,,,,,
lee2019,cho2017,conformer,40,200,50.0,50.0,0.0,,,,54.0,54.0,0.08,,,,,,
lee2019,cho2017,conformer,41,200,92.5,92.5,0.85,,,,91.0,91.0,0.82,,,,,,
lee2019,cho2017,conformer,42,200,63.5,63.5,0.27,,,,64.0,64.0,0.28,,,,,,
lee2019,cho2017,conformer,43,200,97.0,97.0,0.94,,,,94.0,94.0,0.88,,,,,,
lee2019,cho2017,conformer,44,200,77.0,77.0,0.54,,,,74.0,74.0,0.48,,,,,,
lee2019,cho2017,conformer,45,200,61.0,61.0,0.22,,,,55.5,55.5,0.11,,,,,,
lee2019,cho2017,conformer,46,240,74.6,74.6,0.492,,,,70.4,70.4,0.408,,,,,,
lee2019,cho2017,conformer,47,200,61.0,61.0,0.22,,,,61.0,61.0,0.22,,,,,,
lee2019,cho2017,conformer,48,200,89.5,89.5,0.79,,,,89.0,89.0,0.78,,,,,,
lee2019,cho2017,conformer,49,200,60.5,60.5,0.21,,,,52.5,52.5,0.05,,,,,,
lee2019,cho2017,conformer,50,200,65.5,65.5,0.31,,,,63.0,63.0,0.26,,,,,,
lee2019,cho2017,conformer,51,200,65.0,65.0,0.3,,,,58.0,58.0,0.16,,,,,,
lee2019,cho2017,conformer,52,200,77.5,77.5,0.55,,,,62.5,62.5,0.25,,,,,,
