train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,54.5,54.5,0.09,55.0,55.0,0.1,,,,,,,,,
lee2019,cho2017,conformer,2,200,55.0,55.0,0.1,53.5,53.5,0.07,,,,,,,,,
lee2019,cho2017,conformer,3,200,83.5,83.5,0.67,89.5,89.5,0.79,,,,,,,,,
lee2019,cho2017,conformer,4,200,78.0,78.0,0.56,86.0,86.0,0.72,,,,,,,,,
lee2019,cho2017,conformer,5,200,54.0,54.0,0.08,60.0,60.0,0.2,,,,,,,,,
lee2019,cho2017,conformer,6,200,55.5,55.5,0.11,55.5,55.5,0.11,,,,,,,,,
lee2019,cho2017,conformer,7,240,55.4,55.4,0.108,56.7,56.7,0.133,,,,,,,,,
lee2019,cho2017,conformer,8,200,54.0,54.0,0.08,56.0,56.0,0.12,,,,,,,,,
lee2019,cho2017,conformer,9,240,60.8,60.8,0.217,65.0,65.0,0.3,,,,,,,,,
lee2019,cho2017,conformer,10,200,74.0,74.0,0.48,85.0,85.0,0.7,,,,,,,,,
lee2019,cho2017,conformer,11,200,56.0,56.0,0.12,60.0,60.0,0.2,,,,,,,,,
lee2019,cho2017,conformer,12,200,60.0,60.0,0.2,68.0,68.0,0.36,,,,,,,,,
lee2019,cho2017,conformer,13,200,55.5,55.5,0.11,56.0,56.0,0.12,,,,,,,,,
lee2019,cho2017,conformer,14,200,83.5,83.5,0.67,88.0,88.0,0.76,,,,,,,,,
lee2019,cho2017,conformer,15,200,60.0,60.0,0.2,69.0,69.0,0.38,,,,,,,,,
lee2019,cho2017,conformer,16,200,53.5,53.5,0.07,50.0,50.0,0.0,,,,,,,,,
lee2019,cho2017,conformer,17,200,48.5,48.5,-0.03,47.5,47.5,-0.05,,,,,,,,,
lee2019,cho2017,conformer,18,200,47.5,47.5,-0.05,55.5,55.5,0.11,,,,,,,,,
lee2019,cho2017,conformer,19,200,59.0,59.0,0.18,66.0,66.0,0.32,,,,,,,,,
lee2019,cho2017,conformer,20,200,58.0,58.0,0.16,58.5,58.5,0.17,,,,,,,,,
lee2019,cho2017,conformer,21,200,64.0,64.0,0.28,68.5,68.5,0.37,,,,,,,,,
lee2019,cho2017,conformer,22,200,62.5,62.5,0.25,70.0,70.0,0.4,,,,,,,,,
lee2019,cho2017,conformer,23,200,75.5,75.5,0.51,85.0,85.0,0.7,,,,,,,,,
lee2019,cho2017,conformer,24,200,64.5,64.5,0.29,63.5,63.5,0.27,,,,,,,,,
lee2019,cho2017,conformer,25,200,64.0,64.0,0.28,77.0,77.0,0.54,,,,,,,,,
lee2019,cho2017,conformer,26,200,59.0,59.0,0.18,66.5,66.5,0.33,,,,,,,,,
lee2019,cho2017,conformer,27,200,57.5,57.5,0.15,54.5,54.5,0.09,,,,,,,,,
lee2019,cho2017,conformer,28,200,53.0,53.0,0.06,47.5,47.5,-0.05,,,,,,,,,
lee2019,cho2017,conformer,29,200,50.0,50.0,0.0,49.0,49.0,-0.02,,,,,,,,,
lee2019,cho2017,conformer,30,200,58.5,58.5,0.17,62.0,62.0,0.24,,,,,,,,,
lee2019,cho2017,conformer,31,200,56.5,56.5,0.13,61.5,61.5,0.23,,,,,,,,,
lee2019,cho2017,conformer,32,200,46.0,46.0,-0.08,46.5,46.5,-0.07,,,,,,,,,
lee2019,cho2017,conformer,33,200,51.5,51.5,0.03,55.5,55.5,0.11,,,,,,,,,
lee2019,cho2017,conformer,34,200,50.5,50.5,0.01,56.5,56.5,0.13,,,,,,,,,
lee2019,cho2017,conformer,35,200,59.5,59.5,0.19,58.5,58.5,0.17,,,,,,,,,
lee2019,cho2017,conformer,36,200,61.0,61.0,0.22,66.0,66.0,0.32,,,,,,,,,
lee2019,cho2017,conformer,37,200,45.5,45.5,-0.09,45.5,45.5,-0.09,,,,,,,,,
lee2019,cho2017,conformer,38,200,53.5,53.5,0.07,55.5,55.5,0.11,,,,,,,,,
lee2019,cho2017,conformer,39,200,65.0,65.0,0.3,77.5,77.5,0.55,,,,,,,,,
lee2019,cho2017,conformer,40,200,50.0,50.0,0.0,52.0,52.0,0.04,,,,,,,,,
lee2019,cho2017,conformer,41,200,82.0,82.0,0.64,90.0,90.0,0.8,,,,,,,,,
lee2019,cho2017,conformer,42,200,58.0,58.0,0.16,66.0,66.0,0.32,,,,,,,,,
lee2019,cho2017,conformer,43,200,76.0,76.0,0.52,89.0,89.0,0.78,,,,,,,,,
lee2019,cho2017,conformer,44,200,68.0,68.0,0.36,68.0,68.0,0.36,,,,,,,,,
lee2019,cho2017,conformer,45,200,56.0,56.0,0.12,61.0,61.0,0.22,,,,,,,,,
lee2019,cho2017,conformer,46,240,62.5,62.5,0.25,71.2,71.2,0.425,,,,,,,,,
lee2019,cho2017,conformer,47,200,66.0,66.0,0.32,64.0,64.0,0.28,,,,,,,,,
lee2019,cho2017,conformer,48,200,74.5,74.5,0.49,86.5,86.5,0.73,,,,,,,,,
lee2019,cho2017,conformer,49,200,55.0,55.0,0.1,60.5,60.5,0.21,,,,,,,,,
lee2019,cho2017,conformer,50,200,58.5,58.5,0.17,63.0,63.0,0.26,,,,,,,,,
lee2019,cho2017,conformer,51,200,58.5,58.5,0.17,62.0,62.0,0.24,,,,,,,,,
lee2019,cho2017,conformer,52,200,74.5,74.5,0.49,75.5,75.5,0.51,,,,,,,,,
