train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,conformer,1,200,75.0,75.0,0.5,,,,,,,73.0,73.0,0.46,75.0,75.0,0.5
cho2017,lee2019,conformer,2,200,54.5,54.5,0.09,,,,,,,65.0,65.0,0.3,62.0,62.0,0.24
cho2017,lee2019,conformer,3,200,78.0,78.0,0.56,,,,,,,78.0,78.0,0.56,78.0,78.0,0.56
cho2017,lee2019,conformer,4,200,52.5,52.5,0.05,,,,,,,47.0,47.0,-0.06,52.5,52.5,0.05
cho2017,lee2019,conformer,5,200,77.5,77.5,0.55,,,,,,,72.5,72.5,0.45,78.5,78.5,0.57
cho2017,lee2019,conformer,6,200,68.5,68.5,0.37,,,,,,,61.0,61.0,0.22,64.5,64.5,0.29
cho2017,lee2019,conformer,7,200,55.5,55.5,0.11,,,,,,,58.5,58.5,0.17,58.0,58.0,0.16
cho2017,lee2019,conformer,8,200,72.0,72.0,0.44,,,,,,,74.5,74.5,0.49,66.5,66.5,0.33
cho2017,lee2019,conformer,9,200,80.5,80.5,0.61,,,,,,,70.5,70.5,0.41,74.5,74.5,0.49
cho2017,lee2019,conformer,10,200,54.5,54.5,0.09,,,,,,,54.0,54.0,0.08,53.5,53.5,0.07
cho2017,lee2019,conformer,11,200,51.5,51.5,0.03,,,,,,,47.0,47.0,-0.06,52.0,52.0,0.04
cho2017,lee2019,conformer,12,200,54.0,54.0,0.08,,,,,,,56.5,56.5,0.13,63.0,63.0,0.26
cho2017,lee2019,conformer,13,200,50.0,50.0,0.0,,,,,,,52.0,52.0,0.04,53.0,53.0,0.06
cho2017,lee2019,conformer,14,200,56.0,56.0,0.12,,,,,,,59.0,59.0,0.18,67.0,67.0,0.34
cho2017,lee2019,conformer,15,200,49.0,49.0,-0.02,,,,,,,47.0,47.0,-0.06,49.0,49.0,-0.02
cho2017,lee2019,conformer,16,200,62.5,62.5,0.25,,,,,,,58.0,58.0,0.16,67.0,67.0,0.34
cho2017,lee2019,conformer,17,200,56.5,56.5,0.13,,,,,,,59.0,59.0,0.18,63.5,63.5,0.27
cho2017,lee2019,conformer,18,200,84.5,84.5,0.69,,,,,,,80.0,80.0,0.6,86.0,86.0,0.72
