train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,conformer,1,200,67.0,67.0,0.34,,,,,,,61.5,61.5,0.23,62.5,62.5,0.25
lee2019,cho2017,conformer,2,200,56.5,56.5,0.13,,,,,,,52.5,52.5,0.05,53.5,53.5,0.07
lee2019,cho2017,conformer,3,200,92.0,92.0,0.84,,,,,,,90.5,90.5,0.81,90.0,90.0,0.8
lee2019,cho2017,conformer,4,200,89.5,89.5,0.79,,,,,,,85.0,85.0,0.7,85.0,85.0,0.7
lee2019,cho2017,conformer,5,200,62.5,62.5,0.25,,,,,,,55.5,55.5,0.11,61.5,61.5,0.23
lee2019,cho2017,conformer,6,200,51.0,51.0,0.02,,,,,,,52.5,52.5,0.05,51.5,51.5,0.03
lee2019,cho2017,conformer,7,240,53.8,53.8,0.075,,,,,,,52.1,52.1,0.042,51.7,51.7,0.033
lee2019,cho2017,conformer,8,200,52.5,52.5,0.05,,,,,,,56.5,56.5,0.13,56.0,56.0,0.12
lee2019,cho2017,conformer,9,240,65.4,65.4,0.308,,,,,,,64.6,64.6,0.292,64.2,64.2,0.283
lee2019,cho2017,conformer,10,200,82.0,82.0,0.64,,,,,,,80.5,80.5,0.61,79.5,79.5,0.59
lee2019,cho2017,conformer,11,200,63.0,63.0,0.26,,,,,,,60.0,60.0,0.2,63.5,63.5,0.27
lee2019,cho2017,conformer,12,200,68.0,68.0,0.36,,,,,,,64.5,64.5,0.29,65.0,65.0,0.3
lee2019,cho2017,conformer,13,200,53.0,53.0,0.06,,,,,,,53.0,53.0,0.06,52.5,52.5,0.05
lee2019,cho2017,conformer,14,200,85.0,85.0,0.7,,,,,,,84.5,84.5,0.69,84.0,84.0,0.68
lee2019,cho2017,conformer,15,200,68.5,68.5,0.37,,,,,,,67.5,67.5,0.35,63.5,63.5,0.27
