train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,cspnet,1,200,72.5,72.5,0.45,72.5,72.5,0.45,,,,,,,,,
lee2019,cho2017,cspnet,2,200,55.5,55.5,0.11,55.0,55.0,0.1,,,,,,,,,
lee2019,cho2017,cspnet,3,200,93.5,93.5,0.87,93.0,93.0,0.86,,,,,,,,,
lee2019,cho2017,cspnet,4,200,92.5,92.5,0.85,91.5,91.5,0.83,,,,,,,,,
lee2019,cho2017,cspnet,5,200,70.0,70.0,0.4,74.0,74.0,0.48,,,,,,,,,
lee2019,cho2017,cspnet,6,200,62.0,62.0,0.24,60.5,60.5,0.21,,,,,,,,,
lee2019,cho2017,cspnet,7,240,62.5,62.5,0.25,63.3,63.3,0.267,,,,,,,,,
lee2019,cho2017,cspnet,8,200,57.5,57.5,0.15,57.0,57.0,0.14,,,,,,,,,
lee2019,cho2017,cspnet,9,240,75.0,75.0,0.5,74.2,74.2,0.483,,,,,,,,,
lee2019,cho2017,cspnet,10,200,85.0,85.0,0.7,84.0,84.0,0.68,,,,,,,,,
lee2019,cho2017,cspnet,11,200,72.5,72.5,0.45,69.5,69.5,0.39,,,,,,,,,
lee2019,cho2017,cspnet,12,200,77.5,77.5,0.55,77.0,77.0,0.54,,,,,,,,,
lee2019,cho2017,cspnet,13,200,58.5,58.5,0.17,59.5,59.5,0.19,,,,,,,,,
lee2019,cho2017,cspnet,14,200,91.5,91.5,0.83,92.0,92.0,0.84,,,,,,,,,
lee2019,cho2017,cspnet,15,200,78.5,78.5,0.57,77.5,77.5,0.55,,,,,,,,,
lee2019,cho2017,cspnet,16,200,64.0,64.0,0.28,63.0,63.0,0.26,,,,,,,,,
lee2019,cho2017,cspnet,17,200,57.5,57.5,0.15,56.0,56.0,0.12,,,,,,,,,
lee2019,cho2017,cspnet,18,200,68.0,68.0,0.36,68.0,68.0,0.36,,,,,,,,,
lee2019,cho2017,cspnet,19,200,74.5,74.5,0.49,76.0,76.0,0.52,,,,,,,,,
lee2019,cho2017,cspnet,20,200,67.0,67.0,0.34,68.5,68.5,0.37,,,,,,,,,
lee2019,cho2017,cspnet,21,200,77.0,77.0,0.54,80.0,80.0,0.6,,,,,,,,,
lee2019,cho2017,cspnet,22,200,70.0,70.0,0.4,69.0,69.0,0.38,,,,,,,,,
lee2019,cho2017,cspnet,23,200,86.5,86.5,0.73,86.5,86.5,0.73,,,,,,,,,
lee2019,cho2017,cspnet,24,200,74.0,74.0,0.48,75.0,75.0,0.5,,,,,,,,,
