train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,cspnet,1,200,80.0,80.0,0.6,,,,86.5,86.5,0.73,,,,,,
cho2017,lee2019,cspnet,2,200,74.5,74.5,0.49,,,,72.0,72.0,0.44,,,,,,
cho2017,lee2019,cspnet,3,200,89.0,89.0,0.78,,,,89.5,89.5,0.79,,,,,,
cho2017,lee2019,cspnet,4,200,64.5,64.5,0.29,,,,65.5,65.5,0.31,,,,,,
cho2017,lee2019,cspnet,5,200,88.5,88.5,0.77,,,,88.5,88.5,0.77,,,,,,
cho2017,lee2019,cspnet,6,200,72.5,72.5,0.45,,,,69.5,69.5,0.39,,,,,,
cho2017,lee2019,cspnet,7,200,64.0,64.0,0.28,,,,62.5,62.5,0.25,,,,,,
cho2017,lee2019,cspnet,8,200,81.0,81.0,0.62,,,,78.0,78.0,0.56,,,,,,
cho2017,lee2019,cspnet,9,200,84.0,84.0,0.68,,,,84.0,84.0,0.68,,,,,,
cho2017,lee2019,cspnet,10,200,65.0,65.0,0.3,,,,67.0,67.0,0.34,,,,,,
cho2017,lee2019,cspnet,11,200,58.0,58.0,0.16,,,,57.0,57.0,0.14,,,,,,
cho2017,lee2019,cspnet,12,200,75.0,75.0,0.5,,,,71.5,71.5,0.43,,,,,,
cho2017,lee2019,cspnet,13,200,60.5,60.5,0.21,,,,61.5,61.5,0.23,,,,,,
cho2017,lee2019,cspnet,14,200,73.5,73.5,0.47,,,,75.5,75.5,0.51,,,,,,
cho2017,lee2019,cspnet,15,200,55.5,55.5,0.11,,,,59.5,59.5,0.19,,,,,,
cho2017,lee2019,cspnet,16,200,63.5,63.5,0.27,,,,65.0,65.0,0.3,,,,,,
cho2017,lee2019,cspnet,17,200,72.5,72.5,0.45,,,,72.0,72.0,0.44,,,,,,
cho2017,lee2019,cspnet,18,200,92.5,92.5,0.85,,,,94.0,94.0,0.88,,,,,,
cho2017,lee2019,cspnet,19,200,81.5,81.5,0.63,,,,82.0,82.0,0.64,,,,,,
cho2017,lee2019,cspnet,20,200,72.5,72.5,0.45,,,,70.0,70.0,0.4,,,,,,
cho2017,lee2019,cspnet,21,200,93.0,93.0,0.86,,,,93.0,93.0,0.86,,,,,,
cho2017,lee2019,cspnet,22,200,71.0,71.0,0.42,,,,72.0,72.0,0.44,,,,,,
cho2017,lee2019,cspnet,23,200,75.0,75.0,0.5,,,,74.5,74.5,0.49,,,,,,
cho2017,lee2019,cspnet,24,200,61.5,61.5,0.23,,,,60.5,60.5,0.21,,,,,,
cho2017,lee2019,cspnet,25,200,63.5,63.5,0.27,,,,64.0,64.0,0.28,,,,,,
cho2017,lee2019,cspnet,26,200,59.5,59.5,0.19,,,,58.0,58.0,0.16,,,,,,
cho2017,lee2019,cspnet,27,200,53.0,53.0,0.06,,,,55.0,55.0,0.1,,,,,,
cho2017,lee2019,cspnet,28,200,89.5,89.5,0.79,,,,89.0,89.0,0.78,,,,,,
cho2017,lee2019,cspnet,29,200,71.5,71.5,0.43,,,,72.5,72.5,0.45,,,,,,
cho2017,lee2019,cspnet,30,200,73.0,73.0,0.46,,,,74.5,74.5,0.49,,,,,,
cho2017,lee2019,cspnet,31,200,67.0,67.0,0.34,,,,67.5,67.5,0.35,,,,,,
cho2017,lee2019,cspnet,32,200,94.5,94.5,0.89,,,,95.0,95.0,0.9,,,,,,
cho2017,lee2019,cspnet,33,200,96.0,96.0,0.92,,,,92.5,92.5,0.85,,,,,,
cho2017,lee2019,cspnet,34,200,47.0,47.0,-0.06,,,,48.0,48.0,-0.04,,,,,,
cho2017,lee2019,cspnet,35,200,45.5,45.5,-0.09,,,,44.5,44.5,-0.11,,,,,,
