train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,68.0,68.0,0.36,,,,,,,,,,,,
lee2019,cho2017,eegnet,2,200,58.0,58.0,0.16,,,,,,,,,,,,
lee2019,cho2017,eegnet,3,200,94.0,94.0,0.88,,,,,,,,,,,,
lee2019,cho2017,eegnet,4,200,91.0,91.0,0.82,,,,,,,,,,,,
lee2019,cho2017,eegnet,5,200,66.0,66.0,0.32,,,,,,,,,,,,
lee2019,cho2017,eegnet,6,200,59.5,59.5,0.19,,,,,,,,,,,,
lee2019,cho2017,eegnet,7,240,55.8,55.8,0.117,,,,,,,,,,,,
lee2019,cho2017,eegnet,8,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,eegnet,9,240,72.9,72.9,0.458,,,,,,,,,,,,
lee2019,cho2017,eegnet,10,200,85.0,85.0,0.7,,,,,,,,,,,,
lee2019,cho2017,eegnet,11,200,72.0,72.0,0.44,,,,,,,,,,,,
lee2019,cho2017,eegnet,12,200,74.0,74.0,0.48,,,,,,,,,,,,
lee2019,cho2017,eegnet,13,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,eegnet,14,200,90.5,90.5,0.81,,,,,,,,,,,,
lee2019,cho2017,eegnet,15,200,74.0,74.0,0.48,,,,,,,,,,,,
lee2019,cho2017,eegnet,16,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,eegnet,17,200,52.5,52.5,0.05,,,,,,,,,,,,
lee2019,cho2017,eegnet,18,200,67.0,67.0,0.34,,,,,,,,,,,,
lee2019,cho2017,eegnet,19,200,74.0,74.0,0.48,,,,,,,,,,,,
lee2019,cho2017,eegnet,20,200,69.0,69.0,0.38,,,,,,,,,,,,
lee2019,cho2017,eegnet,21,200,76.5,76.5,0.53,,,,,,,,,,,,
lee2019,cho2017,eegnet,22,200,68.0,68.0,0.36,,,,,,,,,,,,
lee2019,cho2017,eegnet,23,200,87.5,87.5,0.75,,,,,,,,,,,,
lee2019,cho2017,eegnet,24,200,69.0,69.0,0.38,,,,,,,,,,,,
lee2019,cho2017,eegnet,25,200,75.0,75.0,0.5,,,,,,,,,,,,
lee2019,cho2017,eegnet,26,200,69.0,69.0,0.38,,,,,,,,,,,,
lee2019,cho2017,eegnet,27,200,57.5,57.5,0.15,,,,,,,,,,,,
lee2019,cho2017,eegnet,28,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,eegnet,29,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,eegnet,30,200,68.5,68.5,0.37,,,,,,,,,,,,
lee2019,cho2017,eegnet,31,200,69.5,69.5,0.39,,,,,,,,,,,,
lee2019,cho2017,eegnet,32,200,49.5,49.5,-0.01,,,,,,,,,,,,
lee2019,cho2017,eegnet,33,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,eegnet,34,200,51.5,51.5,0.03,,,,,,,,,,,,
lee2019,cho2017,eegnet,35,200,57.0,57.0,0.14,,,,,,,,,,,,
lee2019,cho2017,eegnet,36,200,69.0,69.0,0.38,,,,,,,,,,,,
lee2019,cho2017,eegnet,37,200,51.0,51.0,0.02,,,,,,,,,,,,
lee2019,cho2017,eegnet,38,200,64.5,64.5,0.29,,,,,,,,,,,,
lee2019,cho2017,eegnet,39,200,75.5,75.5,0.51,,,,,,,,,,,,
lee2019,cho2017,eegnet,40,200,45.5,45.5,-0.09,,,,,,,,,,,,
lee2019,cho2017,eegnet,41,200,93.5,93.5,0.87,,,,,,,,,,,,
lee2019,cho2017,eegnet,42,200,70.5,70.5,0.41,,,,,,,,,,,,
lee2019,cho2017,eegnet,43,200,95.5,95.5,0.91,,,,,,,,,,,,
lee2019,cho2017,eegnet,44,200,76.0,76.0,0.52,,,,,,,,,,,,
lee2019,cho2017,eegnet,45,200,65.0,65.0,0.3,,,,,,,,,,,,
lee2019,cho2017,eegnet,46,240,76.7,76.7,0.533,,,,,,,,,,,,
lee2019,cho2017,eegnet,47,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,eegnet,48,200,88.5,88.5,0.77,,,,,,,,,,,,
lee2019,cho2017,eegnet,49,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,eegnet,50,200,60.0,60.0,0.2,,,,,,,,,,,,
lee2019,cho2017,eegnet,51,200,60.0,60.0,0.2,,,,,,,,,,,,
lee2019,cho2017,eegnet,52,200,76.0,76.0,0.52,,,,,,,,,,,,
