train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,eegnet,1,200,84.5,84.5,0.69,,,,,,,,,,,,
cho2017,lee2019,eegnet,2,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,eegnet,3,200,92.5,92.5,0.85,,,,,,,,,,,,
cho2017,lee2019,eegnet,4,200,65.0,65.0,0.3,,,,,,,,,,,,
cho2017,lee2019,eegnet,5,200,86.5,86.5,0.73,,,,,,,,,,,,
cho2017,lee2019,eegnet,6,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,eegnet,7,200,65.5,65.5,0.31,,,,,,,,,,,,
cho2017,lee2019,eegnet,8,200,80.0,80.0,0.6,,,,,,,,,,,,
cho2017,lee2019,eegnet,9,200,80.0,80.0,0.6,,,,,,,,,,,,
cho2017,lee2019,eegnet,10,200,60.5,60.5,0.21,,,,,,,,,,,,
cho2017,lee2019,eegnet,11,200,60.0,60.0,0.2,,,,,,,,,,,,
cho2017,lee2019,eegnet,12,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,eegnet,13,200,55.0,55.0,0.1,,,,,,,,,,,,
cho2017,lee2019,eegnet,14,200,70.5,70.5,0.41,,,,,,,,,,,,
cho2017,lee2019,eegnet,15,200,57.0,57.0,0.14,,,,,,,,,,,,
cho2017,lee2019,eegnet,16,200,64.0,64.0,0.28,,,,,,,,,,,,
cho2017,lee2019,eegnet,17,200,67.0,67.0,0.34,,,,,,,,,,,,
cho2017,lee2019,eegnet,18,200,92.5,92.5,0.85,,,,,,,,,,,,
cho2017,lee2019,eegnet,19,200,72.0,72.0,0.44,,,,,,,,,,,,
cho2017,lee2019,eegnet,20,200,73.5,73.5,0.47,,,,,,,,,,,,
cho2017,lee2019,eegnet,21,200,91.0,91.0,0.82,,,,,,,,,,,,
cho2017,lee2019,eegnet,22,200,69.5,69.5,0.39,,,,,,,,,,,,
cho2017,lee2019,eegnet,23,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,eegnet,24,200,60.5,60.5,0.21,,,,,,,,,,,,
cho2017,lee2019,eegnet,25,200,57.5,57.5,0.15,,,,,,,,,,,,
cho2017,lee2019,eegnet,26,200,53.5,53.5,0.07,,,,,,,,,,,,
cho2017,lee2019,eegnet,27,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,eegnet,28,200,87.0,87.0,0.74,,,,,,,,,,,,
cho2017,lee2019,eegnet,29,200,63.0,63.0,0.26,,,,,,,,,,,,
cho2017,lee2019,eegnet,30,200,77.0,77.0,0.54,,,,,,,,,,,,
cho2017,lee2019,eegnet,31,200,63.5,63.5,0.27,,,,,,,,,,,,
cho2017,lee2019,eegnet,32,200,93.5,93.5,0.87,,,,,,,,,,,,
cho2017,lee2019,eegnet,33,200,94.0,94.0,0.88,,,,,,,,,,,,
cho2017,lee2019,eegnet,34,200,47.5,47.5,-0.05,,,,,,,,,,,,
cho2017,lee2019,eegnet,35,200,54.5,54.5,0.09,,,,,,,,,,,,
cho2017,lee2019,eegnet,36,200,84.5,84.5,0.69,,,,,,,,,,,,
cho2017,lee2019,eegnet,37,200,97.0,97.0,0.94,,,,,,,,,,,,
cho2017,lee2019,eegnet,38,200,66.5,66.5,0.33,,,,,,,,,,,,
cho2017,lee2019,eegnet,39,200,78.0,78.0,0.56,,,,,,,,,,,,
cho2017,lee2019,eegnet,40,200,59.5,59.5,0.19,,,,,,,,,,,,
cho2017,lee2019,eegnet,41,200,60.0,60.0,0.2,,,,,,,,,,,,
cho2017,lee2019,eegnet,42,200,70.0,70.0,0.4,,,,,,,,,,,,
cho2017,lee2019,eegnet,43,200,64.0,64.0,0.28,,,,,,,,,,,,
cho2017,lee2019,eegnet,44,200,88.5,88.5,0.77,,,,,,,,,,,,
cho2017,lee2019,eegnet,45,200,79.5,79.5,0.59,,,,,,,,,,,,
cho2017,lee2019,eegnet,46,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,eegnet,47,200,69.0,69.0,0.38,,,,,,,,,,,,
cho2017,lee2019,eegnet,48,200,50.5,50.5,0.01,,,,,,,,,,,,
cho2017,lee2019,eegnet,49,200,66.0,66.0,0.32,,,,,,,,,,,,
cho2017,lee2019,eegnet,50,200,56.5,56.5,0.13,,,,,,,,,,,,
cho2017,lee2019,eegnet,51,200,60.5,60.5,0.21,,,,,,,,,,,,
cho2017,lee2019,eegnet,52,200,70.5,70.5,0.41,,,,,,,,,,,,
cho2017,lee2019,eegnet,53,200,60.5,60.5,0.21,,,,,,,,,,,,
cho2017,lee2019,eegnet,54,200,55.0,55.0,0.1,,,,,,,,,,,,
