train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,67.5,67.5,0.35,,,,70.0,70.0,0.4,,,,,,
lee2019,cho2017,eegnet,2,200,61.0,61.0,0.22,,,,59.5,59.5,0.19,,,,,,
lee2019,cho2017,eegnet,3,200,94.5,94.5,0.89,,,,92.0,92.0,0.84,,,,,,
lee2019,cho2017,eegnet,4,200,93.0,93.0,0.86,,,,92.5,92.5,0.85,,,,,,
lee2019,cho2017,eegnet,5,200,71.0,71.0,0.42,,,,71.0,71.0,0.42,,,,,,
lee2019,cho2017,eegnet,6,200,58.5,58.5,0.17,,,,58.0,58.0,0.16,,,,,,
lee2019,cho2017,eegnet,7,240,60.8,60.8,0.217,,,,62.1,62.1,0.242,,,,,,
lee2019,cho2017,eegnet,8,200,62.0,62.0,0.24,,,,59.5,59.5,0.19,,,,,,
lee2019,cho2017,eegnet,9,240,77.1,77.1,0.542,,,,74.6,74.6,0.492,,,,,,
lee2019,cho2017,eegnet,10,200,82.0,82.0,0.64,,,,83.5,83.5,0.67,,,,,,
lee2019,cho2017,eegnet,11,200,71.0,71.0,0.42,,,,68.5,68.5,0.37,,,,,,
lee2019,cho2017,eegnet,12,200,74.5,74.5,0.49,,,,75.0,75.0,0.5,,,,,,
lee2019,cho2017,eegnet,13,200,50.5,50.5,0.01,,,,53.0,53.0,0.06,,,,,,
lee2019,cho2017,eegnet,14,200,88.5,88.5,0.77,,,,90.5,90.5,0.81,,,,,,
lee2019,cho2017,eegnet,15,200,75.0,75.0,0.5,,,,74.0,74.0,0.48,,,,,,
lee2019,cho2017,eegnet,16,200,59.5,59.5,0.19,,,,57.5,57.5,0.15,,,,,,
lee2019,cho2017,eegnet,17,200,54.0,54.0,0.08,,,,53.0,53.0,0.06,,,,,,
lee2019,cho2017,eegnet,18,200,66.0,66.0,0.32,,,,66.5,66.5,0.33,,,,,,
lee2019,cho2017,eegnet,19,200,68.0,68.0,0.36,,,,74.5,74.5,0.49,,,,,,
lee2019,cho2017,eegnet,20,200,67.5,67.5,0.35,,,,69.5,69.5,0.39,,,,,,
lee2019,cho2017,eegnet,21,200,76.5,76.5,0.53,,,,79.0,79.0,0.58,,,,,,
lee2019,cho2017,eegnet,22,200,65.5,65.5,0.31,,,,65.5,65.5,0.31,,,,,,
lee2019,cho2017,eegnet,23,200,85.5,85.5,0.71,,,,85.5,85.5,0.71,,,,,,
lee2019,cho2017,eegnet,24,200,71.5,71.5,0.43,,,,72.0,72.0,0.44,,,,,,
lee2019,cho2017,eegnet,25,200,81.5,81.5,0.63,,,,81.0,81.0,0.62,,,,,,
lee2019,cho2017,eegnet,26,200,65.5,65.5,0.31,,,,65.5,65.5,0.31,,,,,,
lee2019,cho2017,eegnet,27,200,64.5,64.5,0.29,,,,62.5,62.5,0.25,,,,,,
lee2019,cho2017,eegnet,28,200,51.0,51.0,0.02,,,,49.5,49.5,-0.01,,,,,,
lee2019,cho2017,eegnet,29,200,55.5,55.5,0.11,,,,57.0,57.0,0.14,,,,,,
lee2019,cho2017,eegnet,30,200,69.0,69.0,0.38,,,,65.5,65.5,0.31,,,,,,
lee2019,cho2017,eegnet,31,200,71.5,71.5,0.43,,,,70.5,70.5,0.41,,,,,,
lee2019,cho2017,eegnet,32,200,49.5,49.5,-0.01,,,,50.5,50.5,0.01,,,,,,
lee2019,cho2017,eegnet,33,200,58.5,58.5,0.17,,,,58.5,58.5,0.17,,,,,,
lee2019,cho2017,eegnet,34,200,51.5,51.5,0.03,,,,52.0,52.0,0.04,,,,,,
lee2019,cho2017,eegnet,35,200,58.0,58.0,0.16,,,,58.0,58.0,0.16,,,,,,
lee2019,cho2017,eegnet,36,200,68.5,68.5,0.37,,,,69.0,69.0,0.38,,,,,,
lee2019,cho2017,eegnet,37,200,51.5,51.5,0.03,,,,49.0,49.0,-0.02,,,,,,
lee2019,cho2017,eegnet,38,200,64.5,64.5,0.29,,,,65.0,65.0,0.3,,,,,,
lee2019,cho2017,eegnet,39,200,77.0,77.0,0.54,,,,78.5,78.5,0.57,,,,,,
lee2019,cho2017,eegnet,40,200,47.5,47.5,-0.05,,,,45.0,45.0,-0.1,,,,,,
lee2019,cho2017,eegnet,41,200,94.0,94.0,0.88,,,,94.0,94.0,0.88,,,,,,
lee2019,cho2017,eegnet,42,200,69.0,69.0,0.38,,,,67.0,67.0,0.34,,,,,,
lee2019,cho2017,eegnet,43,200,96.5,96.5,0.93,,,,95.5,95.5,0.91,,,,,,
lee2019,cho2017,eegnet,44,200,76.0,76.0,0.52,,,,77.5,77.5,0.55,,,,,,
lee2019,cho2017,eegnet,45,200,60.0,60.0,0.2,,,,59.5,59.5,0.19,,,,,,
lee2019,cho2017,eegnet,46,240,70.8,70.8,0.417,,,,71.2,71.2,0.425,,,,,,
lee2019,cho2017,eegnet,47,200,69.5,69.5,0.39,,,,66.5,66.5,0.33,,,,,,
lee2019,cho2017,eegnet,48,200,90.5,90.5,0.81,,,,88.0,88.0,0.76,,,,,,
lee2019,cho2017,eegnet,49,200,62.5,62.5,0.25,,,,62.5,62.5,0.25,,,,,,
lee2019,cho2017,eegnet,50,200,63.0,63.0,0.26,,,,62.5,62.5,0.25,,,,,,
lee2019,cho2017,eegnet,51,200,60.5,60.5,0.21,,,,60.0,60.0,0.2,,,,,,
lee2019,cho2017,eegnet,52,200,75.0,75.0,0.5,,,,73.0,73.0,0.46,,,,,,
