train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,eegnet,1,200,60.0,60.0,0.2,,,,,,,60.0,60.0,0.2,62.0,62.0,0.24
lee2019,cho2017,eegnet,2,200,51.0,51.0,0.02,,,,,,,47.5,47.5,-0.05,51.0,51.0,0.02
lee2019,cho2017,eegnet,3,200,87.5,87.5,0.75,,,,,,,84.5,84.5,0.69,86.5,86.5,0.73
lee2019,cho2017,eegnet,4,200,86.5,86.5,0.73,,,,,,,83.5,83.5,0.67,85.5,85.5,0.71
lee2019,cho2017,eegnet,5,200,60.5,60.5,0.21,,,,,,,59.5,59.5,0.19,59.5,59.5,0.19
lee2019,cho2017,eegnet,6,200,51.5,51.5,0.03,,,,,,,52.0,52.0,0.04,55.0,55.0,0.1
lee2019,cho2017,eegnet,7,240,52.5,52.5,0.05,,,,,,,49.2,49.2,-0.017,52.5,52.5,0.05
lee2019,cho2017,eegnet,8,200,56.0,56.0,0.12,,,,,,,59.5,59.5,0.19,56.0,56.0,0.12
lee2019,cho2017,eegnet,9,240,65.0,65.0,0.3,,,,,,,63.3,63.3,0.267,65.0,65.0,0.3
lee2019,cho2017,eegnet,10,200,79.5,79.5,0.59,,,,,,,78.5,78.5,0.57,81.5,81.5,0.63
lee2019,cho2017,eegnet,11,200,60.0,60.0,0.2,,,,,,,61.0,61.0,0.22,59.5,59.5,0.19
lee2019,cho2017,eegnet,12,200,66.5,66.5,0.33,,,,,,,64.5,64.5,0.29,67.5,67.5,0.35
lee2019,cho2017,eegnet,13,200,53.5,53.5,0.07,,,,,,,52.5,52.5,0.05,53.5,53.5,0.07
lee2019,cho2017,eegnet,14,200,83.5,83.5,0.67,,,,,,,87.5,87.5,0.75,90.0,90.0,0.8
lee2019,cho2017,eegnet,15,200,67.5,67.5,0.35,,,,,,,64.0,64.0,0.28,66.5,66.5,0.33
lee2019,cho2017,eegnet,16,200,58.5,58.5,0.17,,,,,,,54.5,54.5,0.09,56.0,56.0,0.12
lee2019,cho2017,eegnet,17,200,54.5,54.5,0.09,,,,,,,50.5,50.5,0.01,52.0,52.0,0.04
lee2019,cho2017,eegnet,18,200,54.0,54.0,0.08,,,,,,,58.5,58.5,0.17,61.0,61.0,0.22
lee2019,cho2017,eegnet,19,200,65.0,65.0,0.3,,,,,,,66.5,66.5,0.33,65.5,65.5,0.31
lee2019,cho2017,eegnet,20,200,65.0,65.0,0.3,,,,,,,67.5,67.5,0.35,66.0,66.0,0.32
lee2019,cho2017,eegnet,21,200,66.0,66.0,0.32,,,,,,,61.5,61.5,0.23,68.5,68.5,0.37
lee2019,cho2017,eegnet,22,200,68.5,68.5,0.37,,,,,,,65.0,65.0,0.3,65.5,65.5,0.31
lee2019,cho2017,eegnet,23,200,81.0,81.0,0.62,,,,,,,80.0,80.0,0.6,84.0,84.0,0.68
lee2019,cho2017,eegnet,24,200,59.5,59.5,0.19,,,,,,,61.0,61.0,0.22,61.5,61.5,0.23
lee2019,cho2017,eegnet,25,200,81.5,81.5,0.63,,,,,,,80.5,80.5,0.61,84.0,84.0,0.68
lee2019,cho2017,eegnet,26,200,55.5,55.5,0.11,,,,,,,57.5,57.5,0.15,62.5,62.5,0.25
lee2019,cho2017,eegnet,27,200,55.0,55.0,0.1,,,,,,,62.0,62.0,0.24,59.5,59.5,0.19
lee2019,cho2017,eegnet,28,200,52.0,52.0,0.04,,,,,,,47.0,47.0,-0.06,48.0,48.0,-0.04
lee2019,cho2017,eegnet,29,200,55.0,55.0,0.1,,,,,,,51.5,51.5,0.03,52.0,52.0,0.04
lee2019,cho2017,eegnet,30,200,62.0,62.0,0.24,,,,,,,62.5,62.5,0.25,67.5,67.5,0.35
lee2019,cho2017,eegnet,31,200,59.0,59.0,0.18,,,,,,,59.0,59.0,0.18,60.0,60.0,0.2
lee2019,cho2017,eegnet,32,200,50.5,50.5,0.01,,,,,,,51.0,51.0,0.02,49.0,49.0,-0.02
lee2019,cho2017,eegnet,33,200,57.5,57.5,0.15,,,,,,,59.5,59.5,0.19,60.5,60.5,0.21
lee2019,cho2017,eegnet,34,200,56.5,56.5,0.13,,,,,,,55.0,55.0,0.1,56.0,56.0,0.12
lee2019,cho2017,eegnet,35,200,56.0,56.0,0.12,,,,,,,61.5,61.5,0.23,59.5,59.5,0.19
lee2019,cho2017,eegnet,36,200,63.5,63.5,0.27,,,,,,,61.0,61.0,0.22,66.0,66.0,0.32
lee2019,cho2017,eegnet,37,200,47.0,47.0,-0.06,,,,,,,48.5,48.5,-0.03,47.0,47.0,-0.06
lee2019,cho2017,eegnet,38,200,54.0,54.0,0.08,,,,,,,57.5,57.5,0.15,57.0,57.0,0.14
lee2019,cho2017,eegnet,39,200,69.0,69.0,0.38,,,,,,,64.0,64.0,0.28,70.0,70.0,0.4
lee2019,cho2017,eegnet,40,200,53.0,53.0,0.06,,,,,,,49.5,49.5,-0.01,47.5,47.5,-0.05
lee2019,cho2017,eegnet,41,200,89.0,89.0,0.78,,,,,,,88.5,88.5,0.77,89.0,89.0,0.78
lee2019,cho2017,eegnet,42,200,63.0,63.0,0.26,,,,,,,63.0,63.0,0.26,63.5,63.5,0.27
lee2019,cho2017,eegnet,43,200,86.5,86.5,0.73,,,,,,,82.0,82.0,0.64,87.5,87.5,0.75
lee2019,cho2017,eegnet,44,200,68.0,68.0,0.36,,,,,,,66.5,66.5,0.33,71.5,71.5,0.43
lee2019,cho2017,eegnet,45,200,65.5,65.5,0.31,,,,,,,68.5,68.5,0.37,65.0,65.0,0.3
lee2019,cho2017,eegnet,46,240,70.8,70.8,0.417,,,,,,,61.7,61.7,0.233,64.6,64.6,0.292
lee2019,cho2017,eegnet,47,200,66.5,66.5,0.33,,,,,,,62.0,62.0,0.24,65.0,65.0,0.3
lee2019,cho2017,eegnet,48,200,82.5,82.5,0.65,,,,,,,78.5,78.5,0.57,84.0,84.0,0.68
lee2019,cho2017,eegnet,49,200,56.5,56.5,0.13,,,,,,,55.0,55.0,0.1,54.5,54.5,0.09
lee2019,cho2017,eegnet,50,200,61.5,61.5,0.23,,,,,,,61.5,61.5,0.23,64.0,64.0,0.28
lee2019,cho2017,eegnet,51,200,58.0,58.0,0.16,,,,,,,57.0,57.0,0.14,59.5,59.5,0.19
lee2019,cho2017,eegnet,52,200,69.5,69.5,0.39,,,,,,,74.5,74.5,0.49,72.5,72.5,0.45
