train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,conformercontrastive,1,200,82.5,82.5,0.65,83.0,83.0,0.66,,,,,,,,,
cho2017,lee2019,conformercontrastive,2,200,67.0,67.0,0.34,67.0,67.0,0.34,,,,,,,,,
cho2017,lee2019,conformercontrastive,3,200,90.5,90.5,0.81,89.0,89.0,0.78,,,,,,,,,
cho2017,lee2019,conformercontrastive,4,200,70.0,70.0,0.4,68.0,68.0,0.36,,,,,,,,,
cho2017,lee2019,conformercontrastive,5,200,84.5,84.5,0.69,83.5,83.5,0.67,,,,,,,,,
cho2017,lee2019,conformercontrastive,6,200,70.0,70.0,0.4,69.5,69.5,0.39,,,,,,,,,
cho2017,lee2019,conformercontrastive,7,200,62.0,62.0,0.24,62.5,62.5,0.25,,,,,,,,,
cho2017,lee2019,conformercontrastive,8,200,77.0,77.0,0.54,77.0,77.0,0.54,,,,,,,,,
cho2017,lee2019,conformercontrastive,9,200,82.5,82.5,0.65,82.0,82.0,0.64,,,,,,,,,
cho2017,lee2019,conformercontrastive,10,200,65.5,65.5,0.31,67.0,67.0,0.34,,,,,,,,,
cho2017,lee2019,conformercontrastive,11,200,58.0,58.0,0.16,56.0,56.0,0.12,,,,,,,,,
cho2017,lee2019,conformercontrastive,12,200,64.0,64.0,0.28,63.5,63.5,0.27,,,,,,,,,
cho2017,lee2019,conformercontrastive,13,200,61.0,61.0,0.22,59.5,59.5,0.19,,,,,,,,,
cho2017,lee2019,conformercontrastive,14,200,72.5,72.5,0.45,69.0,69.0,0.38,,,,,,,,,
cho2017,lee2019,conformercontrastive,15,200,55.5,55.5,0.11,55.0,55.0,0.1,,,,,,,,,
cho2017,lee2019,conformercontrastive,16,200,65.0,65.0,0.3,62.0,62.0,0.24,,,,,,,,,
cho2017,lee2019,conformercontrastive,17,200,71.5,71.5,0.43,72.0,72.0,0.44,,,,,,,,,
cho2017,lee2019,conformercontrastive,18,200,93.5,93.5,0.87,92.0,92.0,0.84,,,,,,,,,
cho2017,lee2019,conformercontrastive,19,200,75.5,75.5,0.51,73.0,73.0,0.46,,,,,,,,,
cho2017,lee2019,conformercontrastive,20,200,67.5,67.5,0.35,68.0,68.0,0.36,,,,,,,,,
cho2017,lee2019,conformercontrastive,21,200,95.0,95.0,0.9,94.0,94.0,0.88,,,,,,,,,
cho2017,lee2019,conformercontrastive,22,200,67.0,67.0,0.34,69.0,69.0,0.38,,,,,,,,,
cho2017,lee2019,conformercontrastive,23,200,83.0,83.0,0.66,80.0,80.0,0.6,,,,,,,,,
cho2017,lee2019,conformercontrastive,24,200,54.5,54.5,0.09,58.0,58.0,0.16,,,,,,,,,
cho2017,lee2019,conformercontrastive,25,200,64.0,64.0,0.28,63.5,63.5,0.27,,,,,,,,,
cho2017,lee2019,conformercontrastive,26,200,62.0,62.0,0.24,58.5,58.5,0.17,,,,,,,,,
cho2017,lee2019,conformercontrastive,27,200,55.0,55.0,0.1,53.5,53.5,0.07,,,,,,,,,
cho2017,lee2019,conformercontrastive,28,200,90.0,90.0,0.8,88.0,88.0,0.76,,,,,,,,,
cho2017,lee2019,conformercontrastive,29,200,62.0,62.0,0.24,64.0,64.0,0.28,,,,,,,,,
cho2017,lee2019,conformercontrastive,30,200,75.0,75.0,0.5,71.0,71.0,0.42,,,,,,,,,
cho2017,lee2019,conformercontrastive,31,200,69.0,69.0,0.38,69.5,69.5,0.39,,,,,,,,,
cho2017,lee2019,conformercontrastive,32,200,95.0,95.0,0.9,97.0,97.0,0.94,,,,,,,,,
cho2017,lee2019,conformercontrastive,33,200,94.0,94.0,0.88,95.0,95.0,0.9,,,,,,,,,
cho2017,lee2019,conformercontrastive,34,200,48.5,48.5,-0.03,47.5,47.5,-0.05,,,,,,,,,
cho2017,lee2019,conformercontrastive,35,200,51.0,51.0,0.02,53.0,53.0,0.06,,,,,,,,,
cho2017,lee2019,conformercontrastive,36,200,94.5,94.5,0.89,95.5,95.5,0.91,,,,,,,,,
cho2017,lee2019,conformercontrastive,37,200,95.5,95.5,0.91,96.5,96.5,0.93,,,,,,,,,
cho2017,lee2019,conformercontrastive,38,200,63.5,63.5,0.27,64.0,64.0,0.28,,,,,,,,,
cho2017,lee2019,conformercontrastive,39,200,83.5,83.5,0.67,84.5,84.5,0.69,,,,,,,,,
cho2017,lee2019,conformercontrastive,40,200,66.0,66.0,0.32,67.0,67.0,0.34,,,,,,,,,
cho2017,lee2019,conformercontrastive,41,200,58.5,58.5,0.17,59.0,59.0,0.18,,,,,,,,,
cho2017,lee2019,conformercontrastive,42,200,70.0,70.0,0.4,69.0,69.0,0.38,,,,,,,,,
cho2017,lee2019,conformercontrastive,43,200,71.5,71.5,0.43,68.0,68.0,0.36,,,,,,,,,
cho2017,lee2019,conformercontrastive,44,200,95.5,95.5,0.91,92.0,92.0,0.84,,,,,,,,,
cho2017,lee2019,conformercontrastive,45,200,83.5,83.5,0.67,84.5,84.5,0.69,,,,,,,,,
cho2017,lee2019,conformercontrastive,46,200,73.0,73.0,0.46,76.5,76.5,0.53,,,,,,,,,
cho2017,lee2019,conformercontrastive,47,200,73.5,73.5,0.47,74.0,74.0,0.48,,,,,,,,,
cho2017,lee2019,conformercontrastive,48,200,53.0,53.0,0.06,52.5,52.5,0.05,,,,,,,,,
cho2017,lee2019,conformercontrastive,49,200,73.5,73.5,0.47,74.5,74.5,0.49,,,,,,,,,
cho2017,lee2019,conformercontrastive,50,200,56.0,56.0,0.12,58.5,58.5,0.17,,,,,,,,,
