train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,cspnetdann,1,200,68.0,68.0,0.36,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,2,200,52.5,52.5,0.05,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,3,200,74.0,74.0,0.48,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,4,200,54.5,54.5,0.09,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,5,200,74.0,74.0,0.48,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,6,200,54.5,54.5,0.09,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,7,200,60.5,60.5,0.21,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,8,200,56.5,56.5,0.13,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,9,200,67.0,67.0,0.34,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,10,200,61.0,61.0,0.22,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,11,200,51.5,51.5,0.03,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,12,200,62.0,62.0,0.24,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,13,200,60.0,60.0,0.2,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,14,200,65.5,65.5,0.31,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,15,200,54.5,54.5,0.09,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,16,200,59.0,59.0,0.18,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,17,200,65.5,65.5,0.31,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,18,200,73.5,73.5,0.47,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,19,200,76.0,76.0,0.52,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,20,200,61.0,61.0,0.22,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,21,200,67.5,67.5,0.35,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,22,200,73.0,73.0,0.46,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,23,200,73.0,73.0,0.46,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,24,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,25,200,54.5,54.5,0.09,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,26,200,56.0,56.0,0.12,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,27,200,47.0,47.0,-0.06,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,28,200,63.0,63.0,0.26,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,29,200,75.0,75.0,0.5,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,30,200,60.5,60.5,0.21,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,31,200,55.5,55.5,0.11,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,32,200,75.0,75.0,0.5,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,33,200,71.0,71.0,0.42,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,34,200,49.0,49.0,-0.02,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,35,200,42.5,42.5,-0.15,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,36,200,94.5,94.5,0.89,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,37,200,79.0,79.0,0.58,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,38,200,51.0,51.0,0.02,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,39,200,72.0,72.0,0.44,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,40,200,49.5,49.5,-0.01,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,41,200,53.5,53.5,0.07,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,42,200,62.0,62.0,0.24,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,43,200,60.5,60.5,0.21,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,44,200,73.5,73.5,0.47,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,45,200,74.0,74.0,0.48,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,46,200,64.0,64.0,0.28,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,47,200,67.5,67.5,0.35,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,48,200,54.0,54.0,0.08,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,49,200,59.5,59.5,0.19,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,50,200,56.0,56.0,0.12,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,51,200,58.0,58.0,0.16,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,52,200,60.0,60.0,0.2,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,53,200,59.0,59.0,0.18,,,,,,,,,,,,
cho2017,lee2019,cspnetdann,54,200,58.0,58.0,0.16,,,,,,,,,,,,
