train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
lee2019,cho2017,cspnetdann,1,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,2,200,56.0,56.0,0.12,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,3,200,81.5,81.5,0.63,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,4,200,61.0,61.0,0.22,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,5,200,58.5,58.5,0.17,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,6,200,57.0,57.0,0.14,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,7,240,52.1,52.1,0.042,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,8,200,52.0,52.0,0.04,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,9,240,57.5,57.5,0.15,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,10,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,11,200,55.0,55.0,0.1,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,12,200,58.5,58.5,0.17,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,13,200,59.0,59.0,0.18,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,14,200,74.5,74.5,0.49,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,15,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,16,200,53.0,53.0,0.06,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,17,200,52.0,52.0,0.04,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,18,200,54.5,54.5,0.09,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,19,200,59.0,59.0,0.18,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,20,200,62.5,62.5,0.25,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,21,200,62.0,62.0,0.24,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,22,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,23,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,24,200,66.5,66.5,0.33,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,25,200,54.0,54.0,0.08,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,26,200,52.0,52.0,0.04,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,27,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,28,200,53.5,53.5,0.07,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,29,200,50.0,50.0,0.0,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,30,200,60.0,60.0,0.2,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,31,200,66.0,66.0,0.32,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,32,200,49.5,49.5,-0.01,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,33,200,61.5,61.5,0.23,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,34,200,48.5,48.5,-0.03,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,35,200,47.0,47.0,-0.06,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,36,200,64.5,64.5,0.29,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,37,200,48.5,48.5,-0.03,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,38,200,59.0,59.0,0.18,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,39,200,62.0,62.0,0.24,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,40,200,49.5,49.5,-0.01,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,41,200,62.0,62.0,0.24,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,42,200,61.5,61.5,0.23,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,43,200,85.0,85.0,0.7,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,44,200,68.5,68.5,0.37,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,45,200,50.5,50.5,0.01,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,46,240,54.6,54.6,0.092,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,47,200,55.5,55.5,0.11,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,48,200,71.0,71.0,0.42,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,49,200,60.5,60.5,0.21,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,50,200,53.0,53.0,0.06,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,51,200,58.0,58.0,0.16,,,,,,,,,,,,
lee2019,cho2017,cspnetdann,52,200,65.0,65.0,0.3,,,,,,,,,,,,
