train_ds,test_ds,model,subject,n_test,acc,bac,kappa,adabn_acc,adabn_bac,adabn_kappa,tent_acc,tent_bac,tent_kappa,snap_acc,snap_bac,snap_kappa,snap_adabn_acc,snap_adabn_bac,snap_adabn_kappa
cho2017,lee2019,eegnetcontrastive,1,200,82.5,82.5,0.65,82.0,82.0,0.64,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,2,200,77.5,77.5,0.55,76.5,76.5,0.53,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,3,200,91.0,91.0,0.82,91.0,91.0,0.82,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,4,200,65.5,65.5,0.31,65.0,65.0,0.3,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,5,200,85.0,85.0,0.7,85.0,85.0,0.7,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,6,200,71.0,71.0,0.42,71.0,71.0,0.42,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,7,200,62.5,62.5,0.25,63.5,63.5,0.27,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,8,200,81.5,81.5,0.63,81.5,81.5,0.63,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,9,200,82.5,82.5,0.65,82.0,82.0,0.64,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,10,200,63.0,63.0,0.26,59.0,59.0,0.18,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,11,200,58.0,58.0,0.16,58.5,58.5,0.17,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,12,200,71.0,71.0,0.42,71.5,71.5,0.43,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,13,200,55.5,55.5,0.11,56.0,56.0,0.12,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,14,200,75.0,75.0,0.5,75.0,75.0,0.5,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,15,200,58.0,58.0,0.16,57.5,57.5,0.15,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,16,200,64.5,64.5,0.29,65.0,65.0,0.3,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,17,200,76.0,76.0,0.52,72.5,72.5,0.45,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,18,200,92.5,92.5,0.85,90.0,90.0,0.8,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,19,200,78.5,78.5,0.57,77.0,77.0,0.54,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,20,200,70.0,70.0,0.4,70.5,70.5,0.41,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,21,200,94.5,94.5,0.89,92.5,92.5,0.85,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,22,200,67.5,67.5,0.35,68.5,68.5,0.37,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,23,200,76.5,76.5,0.53,76.5,76.5,0.53,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,24,200,56.5,56.5,0.13,56.0,56.0,0.12,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,25,200,60.0,60.0,0.2,66.5,66.5,0.33,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,26,200,55.5,55.5,0.11,56.5,56.5,0.13,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,27,200,54.0,54.0,0.08,55.5,55.5,0.11,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,28,200,85.5,85.5,0.71,86.0,86.0,0.72,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,29,200,67.5,67.5,0.35,67.5,67.5,0.35,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,30,200,73.5,73.5,0.47,74.0,74.0,0.48,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,31,200,66.5,66.5,0.33,66.5,66.5,0.33,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,32,200,93.5,93.5,0.87,95.5,95.5,0.91,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,33,200,92.5,92.5,0.85,91.0,91.0,0.82,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,34,200,45.0,45.0,-0.1,47.5,47.5,-0.05,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,35,200,51.5,51.5,0.03,52.5,52.5,0.05,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,36,200,83.5,83.5,0.67,83.0,83.0,0.66,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,37,200,96.5,96.5,0.93,96.5,96.5,0.93,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,38,200,62.5,62.5,0.25,64.0,64.0,0.28,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,39,200,85.5,85.5,0.71,85.5,85.5,0.71,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,40,200,63.5,63.5,0.27,62.0,62.0,0.24,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,41,200,60.0,60.0,0.2,58.0,58.0,0.16,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,42,200,69.5,69.5,0.39,70.5,70.5,0.41,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,43,200,70.0,70.0,0.4,69.5,69.5,0.39,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,44,200,88.0,88.0,0.76,88.0,88.0,0.76,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,45,200,79.0,79.0,0.58,79.5,79.5,0.59,,,,,,,,,
cho2017,lee2019,eegnetcontrastive,46,200,74.0,74.0,0.48,74.0,74.0,0.48,,,,,,,,,
