train_ds,test_ds,model,subject,n_test,acc,precision,f1,bac,kappa,time_min
cho2017,lee2019,kmm_tradaboost,1,200,71.5,74.5,70.6,71.5,0.43,0.02
cho2017,lee2019,kmm_tradaboost,2,200,63.5,64.4,62.92,63.5,0.27,0.02
cho2017,lee2019,kmm_tradaboost,3,200,79.5,79.57,79.49,79.5,0.59,0.02
cho2017,lee2019,kmm_tradaboost,4,200,62.5,67.92,59.43,62.5,0.25,0.02
cho2017,lee2019,kmm_tradaboost,5,200,76.0,76.01,76.0,76.0,0.52,0.02
cho2017,lee2019,kmm_tradaboost,6,200,61.0,61.04,60.96,61.0,0.22,0.02
cho2017,lee2019,kmm_tradaboost,7,200,58.0,58.03,57.96,58.0,0.16,0.02
cho2017,lee2019,kmm_tradaboost,8,200,66.0,66.23,65.88,66.0,0.32,0.02
cho2017,lee2019,kmm_tradaboost,9,200,76.0,76.0,76.0,76.0,0.52,0.02
cho2017,lee2019,kmm_tradaboost,10,200,56.0,56.2,55.64,56.0,0.12,0.02
cho2017,lee2019,kmm_tradaboost,11,200,51.0,51.0,51.0,51.0,0.02,0.02
cho2017,lee2019,kmm_tradaboost,12,200,62.5,62.53,62.48,62.5,0.25,0.02
cho2017,lee2019,kmm_tradaboost,13,200,64.5,64.5,64.5,64.5,0.29,0.02
cho2017,lee2019,kmm_tradaboost,14,200,65.5,65.86,65.3,65.5,0.31,0.02
cho2017,lee2019,kmm_tradaboost,15,200,51.5,52.03,48.13,51.5,0.03,0.02
cho2017,lee2019,kmm_tradaboost,16,200,61.5,61.93,61.15,61.5,0.23,0.02
cho2017,lee2019,kmm_tradaboost,17,200,71.0,71.03,70.99,71.0,0.42,0.02
cho2017,lee2019,kmm_tradaboost,18,200,85.0,85.23,84.98,85.0,0.7,0.02
cho2017,lee2019,kmm_tradaboost,19,200,78.0,78.04,77.99,78.0,0.56,0.02
cho2017,lee2019,kmm_tradaboost,20,200,60.0,60.33,59.67,60.0,0.2,0.02
cho2017,lee2019,kmm_tradaboost,21,200,93.5,93.86,93.49,93.5,0.87,0.02
cho2017,lee2019,kmm_tradaboost,22,200,70.0,70.13,69.95,70.0,0.4,0.02
cho2017,lee2019,kmm_tradaboost,23,200,75.5,75.52,75.49,75.5,0.51,0.02
cho2017,lee2019,kmm_tradaboost,24,200,54.5,54.52,54.44,54.5,0.09,0.02
cho2017,lee2019,kmm_tradaboost,25,200,56.0,56.59,54.99,56.0,0.12,0.02
cho2017,lee2019,kmm_tradaboost,26,200,62.5,62.5,62.5,62.5,0.25,0.02
cho2017,lee2019,kmm_tradaboost,27,200,50.0,50.0,48.13,50.0,0.0,0.02
cho2017,lee2019,kmm_tradaboost,28,200,78.5,78.73,78.46,78.5,0.57,0.02
cho2017,lee2019,kmm_tradaboost,29,200,74.0,75.0,73.74,74.0,0.48,0.02
cho2017,lee2019,kmm_tradaboost,30,200,62.5,65.34,60.68,62.5,0.25,0.02
cho2017,lee2019,kmm_tradaboost,31,200,62.5,62.6,62.42,62.5,0.25,0.02
cho2017,lee2019,kmm_tradaboost,32,200,94.5,94.54,94.5,94.5,0.89,0.02
cho2017,lee2019,kmm_tradaboost,33,200,87.5,88.14,87.45,87.5,0.75,0.02
cho2017,lee2019,kmm_tradaboost,34,200,44.0,42.99,41.9,44.0,-0.12,0.02
cho2017,lee2019,kmm_tradaboost,35,200,52.0,52.01,51.96,52.0,0.04,0.02
cho2017,lee2019,kmm_tradaboost,36,200,95.5,95.61,95.5,95.5,0.91,0.02
cho2017,lee2019,kmm_tradaboost,37,200,88.5,88.53,88.5,88.5,0.77,0.02
cho2017,lee2019,kmm_tradaboost,38,200,60.5,63.17,58.39,60.5,0.21,0.02
cho2017,lee2019,kmm_tradaboost,39,200,83.5,83.66,83.48,83.5,0.67,0.02
cho2017,lee2019,kmm_tradaboost,40,200,53.5,53.5,53.49,53.5,0.07,0.02
cho2017,lee2019,kmm_tradaboost,41,200,55.0,55.07,54.84,55.0,0.1,0.02
cho2017,lee2019,kmm_tradaboost,42,200,65.5,65.58,65.46,65.5,0.31,0.02
cho2017,lee2019,kmm_tradaboost,43,200,73.0,73.23,72.93,73.0,0.46,0.02
cho2017,lee2019,kmm_tradaboost,44,200,81.5,83.98,81.16,81.5,0.63,0.02
cho2017,lee2019,kmm_tradaboost,45,200,78.5,79.81,78.26,78.5,0.57,0.02
cho2017,lee2019,kmm_tradaboost,46,200,66.5,66.58,66.46,66.5,0.33,0.02
cho2017,lee2019,kmm_tradaboost,47,200,61.0,61.16,60.86,61.0,0.22,0.02
cho2017,lee2019,kmm_tradaboost,48,200,56.5,56.51,56.49,56.5,0.13,0.02
cho2017,lee2019,kmm_tradaboost,49,200,76.5,76.57,76.49,76.5,0.53,0.02
cho2017,lee2019,kmm_tradaboost,50,200,53.5,53.56,53.3,53.5,0.07,0.02
cho2017,lee2019,kmm_tradaboost,51,200,57.5,57.67,57.26,57.5,0.15,0.02
cho2017,lee2019,kmm_tradaboost,52,200,71.0,71.31,70.9,71.0,0.42,0.02
cho2017,lee2019,kmm_tradaboost,53,200,60.0,60.06,59.94,60.0,0.2,0.02
cho2017,lee2019,kmm_tradaboost,54,200,51.0,51.1,49.87,51.0,0.02,0.02
