train_ds,test_ds,model,subject,n_test,acc,precision,f1,bac,kappa,time_min
lee2019,cho2017,kmm_tradaboost,1,200,63.0,63.94,62.36,63.0,0.26,0.02
lee2019,cho2017,kmm_tradaboost,2,200,54.0,54.06,53.83,54.0,0.08,0.02
lee2019,cho2017,kmm_tradaboost,3,200,87.5,87.68,87.48,87.5,0.75,0.02
lee2019,cho2017,kmm_tradaboost,4,200,81.0,81.05,80.99,81.0,0.62,0.02
lee2019,cho2017,kmm_tradaboost,5,200,61.5,61.64,61.38,61.5,0.23,0.02
lee2019,cho2017,kmm_tradaboost,6,200,56.5,56.52,56.47,56.5,0.13,0.02
lee2019,cho2017,kmm_tradaboost,7,240,56.67,57.05,56.07,56.67,0.133,0.02
lee2019,cho2017,kmm_tradaboost,8,200,52.5,52.73,51.48,52.5,0.05,0.02
lee2019,cho2017,kmm_tradaboost,9,240,64.58,64.58,64.58,64.58,0.292,0.02
lee2019,cho2017,kmm_tradaboost,10,200,73.5,73.69,73.45,73.5,0.47,0.02
lee2019,cho2017,kmm_tradaboost,11,200,57.0,57.36,56.47,57.0,0.14,0.02
lee2019,cho2017,kmm_tradaboost,12,200,71.0,71.31,70.9,71.0,0.42,0.02
lee2019,cho2017,kmm_tradaboost,13,200,51.5,51.56,51.06,51.5,0.03,0.02
lee2019,cho2017,kmm_tradaboost,14,200,95.5,95.54,95.5,95.5,0.91,0.02
lee2019,cho2017,kmm_tradaboost,15,200,66.0,66.23,65.88,66.0,0.32,0.02
lee2019,cho2017,kmm_tradaboost,16,200,59.5,59.94,59.05,59.5,0.19,0.02
lee2019,cho2017,kmm_tradaboost,17,200,47.0,46.96,46.81,47.0,-0.06,0.02
lee2019,cho2017,kmm_tradaboost,18,200,59.5,59.94,59.05,59.5,0.19,0.02
lee2019,cho2017,kmm_tradaboost,19,200,69.0,69.07,68.97,69.0,0.38,0.02
lee2019,cho2017,kmm_tradaboost,20,200,63.0,63.08,62.94,63.0,0.26,0.02
lee2019,cho2017,kmm_tradaboost,21,200,71.0,71.55,70.81,71.0,0.42,0.02
lee2019,cho2017,kmm_tradaboost,22,200,65.5,65.86,65.3,65.5,0.31,0.02
lee2019,cho2017,kmm_tradaboost,23,200,75.0,75.37,74.91,75.0,0.5,0.02
lee2019,cho2017,kmm_tradaboost,24,200,69.5,69.95,69.33,69.5,0.39,0.02
lee2019,cho2017,kmm_tradaboost,25,200,65.0,65.0,65.0,65.0,0.3,0.02
lee2019,cho2017,kmm_tradaboost,26,200,52.0,52.82,48.23,52.0,0.04,0.02
lee2019,cho2017,kmm_tradaboost,27,200,57.0,57.43,56.37,57.0,0.14,0.02
lee2019,cho2017,kmm_tradaboost,28,200,50.5,50.55,49.28,50.5,0.01,0.02
lee2019,cho2017,kmm_tradaboost,29,200,54.5,54.52,54.44,54.5,0.09,0.02
lee2019,cho2017,kmm_tradaboost,30,200,68.5,68.5,68.5,68.5,0.37,0.02
lee2019,cho2017,kmm_tradaboost,31,200,65.5,65.77,65.35,65.5,0.31,0.02
lee2019,cho2017,kmm_tradaboost,32,200,45.0,45.0,44.99,45.0,-0.1,0.02
lee2019,cho2017,kmm_tradaboost,33,200,61.5,61.51,61.49,61.5,0.23,0.02
lee2019,cho2017,kmm_tradaboost,34,200,47.0,46.97,46.87,47.0,-0.06,0.02
lee2019,cho2017,kmm_tradaboost,35,200,39.0,38.96,38.95,39.0,-0.22,0.02
lee2019,cho2017,kmm_tradaboost,36,200,69.0,72.21,67.84,69.0,0.38,0.02
lee2019,cho2017,kmm_tradaboost,37,200,57.0,57.14,56.79,57.0,0.14,0.02
lee2019,cho2017,kmm_tradaboost,38,200,57.0,57.05,56.93,57.0,0.14,0.02
lee2019,cho2017,kmm_tradaboost,39,200,64.5,64.54,64.48,64.5,0.29,0.02
lee2019,cho2017,kmm_tradaboost,40,200,52.5,52.64,51.86,52.5,0.05,0.02
lee2019,cho2017,kmm_tradaboost,41,200,87.0,87.24,86.98,87.0,0.74,0.02
lee2019,cho2017,kmm_tradaboost,42,200,67.5,68.67,66.98,67.5,0.35,0.02
lee2019,cho2017,kmm_tradaboost,43,200,94.5,94.61,94.5,94.5,0.89,0.02
lee2019,cho2017,kmm_tradaboost,44,200,70.0,77.41,67.82,70.0,0.4,0.02
lee2019,cho2017,kmm_tradaboost,45,200,63.5,63.51,63.49,63.5,0.27,0.02
lee2019,cho2017,kmm_tradaboost,46,240,66.25,66.26,66.24,66.25,0.325,0.02
lee2019,cho2017,kmm_tradaboost,47,200,63.0,63.13,62.91,63.0,0.26,0.02
lee2019,cho2017,kmm_tradaboost,48,200,82.5,82.5,82.5,82.5,0.65,0.02
lee2019,cho2017,kmm_tradaboost,49,200,63.0,63.34,62.76,63.0,0.26,0.02
lee2019,cho2017,kmm_tradaboost,50,200,57.0,57.05,56.93,57.0,0.14,0.02
lee2019,cho2017,kmm_tradaboost,51,200,58.5,58.5,58.5,58.5,0.17,0.02
lee2019,cho2017,kmm_tradaboost,52,200,74.0,74.8,73.79,74.0,0.48,0.02
