direction,target_subject,CSP-LDA,EA-CSP-LDA,DatasetEA+SubjectEA+CSP-LDA,DatasetEA+SubjectEA+CSPNet,DatasetEA+SubjectEA+AdaBN+Con,PSDNorm+DatasetEA+SubjectEA+AdaBN+Con,Delta_CSP_LDA_to_DatasetEA_SubjectEA_CSP_LDA,Delta_CSPNet_to_DatasetEA_SubjectEA_CSP_LDA
cho2017->lee2019,1,53.5,51.5,66.5,66.0,73.5,72.0,13.0,0.5
cho2017->lee2019,2,51.0,50.5,62.0,52.5,52.0,53.0,11.0,9.5
cho2017->lee2019,3,71.0,64.0,81.5,75.5,75.5,75.5,10.5,6.0
cho2017->lee2019,4,50.0,50.5,59.5,54.0,50.5,51.5,9.5,5.5
cho2017->lee2019,5,54.0,53.0,79.0,73.5,73.0,70.5,25.0,5.5
cho2017->lee2019,6,49.5,53.0,61.0,55.5,55.0,55.5,11.5,5.5
cho2017->lee2019,7,60.0,51.5,56.0,56.5,58.5,57.5,-4.0,-0.5
cho2017->lee2019,8,52.5,54.5,67.5,54.0,57.5,55.0,15.0,13.5
cho2017->lee2019,9,52.0,51.5,74.5,67.0,67.5,65.0,22.5,7.5
cho2017->lee2019,10,57.5,52.5,63.0,60.0,61.5,60.5,5.5,3.0
cho2017->lee2019,11,50.5,50.0,51.5,50.5,50.0,51.0,1.0,1.0
cho2017->lee2019,12,54.0,49.5,64.0,62.5,63.0,62.0,10.0,1.5
cho2017->lee2019,13,48.5,49.0,62.5,62.0,62.0,62.0,14.0,0.5
cho2017->lee2019,14,58.0,52.5,70.0,66.5,66.5,62.5,12.0,3.5
cho2017->lee2019,15,53.0,49.0,53.5,57.5,56.5,59.0,0.5,-4.0
cho2017->lee2019,16,52.5,49.0,61.0,57.5,58.0,58.5,8.5,3.5
cho2017->lee2019,17,57.0,53.5,71.0,62.0,62.5,64.5,14.0,9.0
cho2017->lee2019,18,57.5,50.0,89.0,71.5,74.0,77.5,31.5,17.5
cho2017->lee2019,19,66.0,54.5,81.5,76.0,76.5,77.0,15.5,5.5
cho2017->lee2019,20,51.5,49.5,59.5,62.0,62.0,64.0,8.0,-2.5
cho2017->lee2019,21,81.0,55.0,93.5,68.5,72.5,75.0,12.5,25.0
