dataset,subject,acc
cho2017,1,64.5
cho2017,2,59.0
cho2017,3,91.0
cho2017,4,87.0
cho2017,5,66.5
cho2017,6,67.5
cho2017,7,60.8
cho2017,8,60.5
cho2017,9,71.7
cho2017,10,86.5
cho2017,11,66.5
cho2017,12,75.0
cho2017,13,50.5
cho2017,14,95.0
cho2017,15,81.0
cho2017,16,63.5
cho2017,17,53.0
cho2017,18,71.0
cho2017,19,70.5
cho2017,20,69.0
cho2017,21,84.0
cho2017,22,74.5
cho2017,23,86.5
cho2017,24,76.5
cho2017,25,81.0
cho2017,26,76.5
cho2017,27,61.0
cho2017,28,50.0
cho2017,29,61.5
cho2017,30,61.5
cho2017,31,72.0
cho2017,32,55.0
cho2017,33,65.5
cho2017,34,51.0
cho2017,35,61.0
cho2017,36,70.0
cho2017,37,52.5
cho2017,38,67.0
cho2017,39,73.5
cho2017,40,52.0
cho2017,41,94.0
cho2017,42,65.5
cho2017,43,97.5
cho2017,44,71.5
cho2017,45,71.5
cho2017,46,82.5
cho2017,47,72.0
cho2017,48,88.5
cho2017,49,72.0
cho2017,50,67.5
cho2017,51,65.0
cho2017,52,74.0
lee2019,1,80.5
lee2019,2,75.0
lee2019,3,90.5
lee2019,4,60.5
lee2019,5,88.5
lee2019,6,67.5
lee2019,7,65.0
lee2019,8,70.5
lee2019,9,84.5
lee2019,10,72.5
lee2019,11,53.5
lee2019,12,67.0
lee2019,13,66.0
lee2019,14,81.0
lee2019,15,60.0
lee2019,16,62.0
lee2019,17,68.0
lee2019,18,91.5
lee2019,19,80.0
lee2019,20,70.0
lee2019,21,93.0
lee2019,22,76.5
lee2019,23,81.0
lee2019,24,55.5
lee2019,25,59.0
lee2019,26,63.0
lee2019,27,52.0
lee2019,28,88.0
lee2019,29,62.0
lee2019,30,71.0
lee2019,31,71.0
lee2019,32,91.5
lee2019,33,94.0
lee2019,34,57.0
lee2019,35,56.5
lee2019,36,96.0
lee2019,37,97.0
lee2019,38,61.5
lee2019,39,85.5
lee2019,40,64.0
lee2019,41,58.5
lee2019,42,70.0
lee2019,43,71.5
lee2019,44,91.0
lee2019,45,81.0
lee2019,46,75.5
lee2019,47,72.0
lee2019,48,57.0
lee2019,49,75.5
lee2019,50,57.0
lee2019,51,63.5
lee2019,52,71.5
lee2019,53,66.0
lee2019,54,65.0
