dataset,subject,acc
cho2017,1,70.0
cho2017,2,57.5
cho2017,3,92.0
cho2017,4,82.5
cho2017,5,72.0
cho2017,6,63.0
cho2017,7,54.58
cho2017,8,57.5
cho2017,9,62.5
cho2017,10,80.0
cho2017,11,66.0
cho2017,12,73.5
cho2017,13,51.5
cho2017,14,93.5
cho2017,15,69.0
cho2017,16,63.0
cho2017,17,50.5
cho2017,18,68.5
cho2017,19,68.0
cho2017,20,71.5
cho2017,21,77.5
cho2017,22,69.5
cho2017,23,72.5
cho2017,24,66.0
cho2017,25,70.5
cho2017,26,62.5
cho2017,27,67.0
cho2017,28,44.0
cho2017,29,49.5
cho2017,30,61.0
cho2017,31,66.0
cho2017,32,49.5
cho2017,33,61.0
cho2017,34,44.5
cho2017,35,46.0
cho2017,36,71.0
cho2017,37,54.5
cho2017,38,63.5
cho2017,39,74.5
cho2017,40,50.5
cho2017,41,85.0
cho2017,42,66.0
cho2017,43,97.0
cho2017,44,70.0
cho2017,45,69.0
cho2017,46,69.17
cho2017,47,72.0
cho2017,48,84.5
cho2017,49,71.5
cho2017,50,62.0
cho2017,51,65.5
cho2017,52,71.5
lee2019,1,67.0
lee2019,2,65.5
lee2019,3,77.5
lee2019,4,49.5
lee2019,5,78.5
lee2019,6,60.0
lee2019,7,52.5
lee2019,8,70.0
lee2019,9,79.5
lee2019,10,54.0
lee2019,11,48.0
lee2019,12,59.5
lee2019,13,55.5
lee2019,14,60.0
lee2019,15,54.5
lee2019,16,57.5
lee2019,17,63.5
lee2019,18,79.0
lee2019,19,78.0
lee2019,20,55.5
lee2019,21,87.0
lee2019,22,60.5
lee2019,23,81.0
lee2019,24,54.0
lee2019,25,54.5
lee2019,26,55.0
lee2019,27,59.5
lee2019,28,67.5
lee2019,29,84.5
lee2019,30,52.5
lee2019,31,64.5
lee2019,32,80.0
lee2019,33,88.0
lee2019,34,48.0
lee2019,35,46.5
lee2019,36,86.5
lee2019,37,85.5
lee2019,38,59.5
lee2019,39,71.0
lee2019,40,54.0
lee2019,41,53.0
lee2019,42,54.5
lee2019,43,60.0
lee2019,44,85.5
lee2019,45,69.0
lee2019,46,63.0
lee2019,47,60.0
lee2019,48,57.0
lee2019,49,68.0
lee2019,50,47.0
lee2019,51,59.5
lee2019,52,66.5
lee2019,53,56.5
lee2019,54,57.5
