dataset,subject,acc
cho2017,1,65.5
cho2017,2,58.0
cho2017,3,90.5
cho2017,4,79.5
cho2017,5,68.0
cho2017,6,64.5
cho2017,7,66.2
cho2017,8,57.0
cho2017,9,58.8
cho2017,10,86.0
cho2017,11,75.0
cho2017,12,73.5
cho2017,13,55.0
cho2017,14,93.0
cho2017,15,81.0
cho2017,16,64.0
cho2017,17,50.0
cho2017,18,67.0
cho2017,19,68.5
cho2017,20,67.0
cho2017,21,78.0
cho2017,22,71.0
cho2017,23,86.0
cho2017,24,68.0
cho2017,25,73.5
cho2017,26,67.5
cho2017,27,54.0
cho2017,28,46.0
cho2017,29,58.5
cho2017,30,62.0
cho2017,31,60.0
cho2017,32,50.0
cho2017,33,64.0
cho2017,34,55.5
cho2017,35,54.5
cho2017,36,70.5
cho2017,37,50.5
cho2017,38,63.5
cho2017,39,68.5
cho2017,40,51.5
cho2017,41,97.0
cho2017,42,64.5
cho2017,43,96.0
cho2017,44,76.0
cho2017,45,65.0
cho2017,46,73.8
cho2017,47,71.0
cho2017,48,93.0
cho2017,49,69.5
cho2017,50,63.5
cho2017,51,62.5
cho2017,52,79.0
lee2019,1,85.5
lee2019,2,74.0
lee2019,3,86.0
lee2019,4,64.5
lee2019,5,90.0
lee2019,6,73.0
lee2019,7,61.0
lee2019,8,76.0
lee2019,9,85.0
lee2019,10,62.5
lee2019,11,56.5
lee2019,12,60.5
lee2019,13,60.5
lee2019,14,75.0
lee2019,15,54.5
lee2019,16,59.0
lee2019,17,67.5
lee2019,18,90.5
lee2019,19,84.0
lee2019,20,71.0
lee2019,21,88.5
lee2019,22,71.0
lee2019,23,76.0
lee2019,24,56.0
lee2019,25,61.0
lee2019,26,62.0
lee2019,27,55.0
lee2019,28,91.5
lee2019,29,71.0
lee2019,30,69.5
lee2019,31,66.5
lee2019,32,97.0
lee2019,33,90.0
lee2019,34,52.5
lee2019,35,55.5
lee2019,36,91.5
lee2019,37,96.0
lee2019,38,60.0
lee2019,39,86.0
lee2019,40,60.5
lee2019,41,56.5
lee2019,42,74.5
lee2019,43,75.0
lee2019,44,89.0
lee2019,45,77.0
lee2019,46,75.0
lee2019,47,76.0
lee2019,48,52.0
lee2019,49,66.0
lee2019,50,55.5
lee2019,51,64.5
lee2019,52,70.5
lee2019,53,62.0
lee2019,54,56.0
