dataset,subject,acc
cho2017,1,70.0
cho2017,2,52.5
cho2017,3,94.5
cho2017,4,89.0
cho2017,5,70.5
cho2017,6,66.0
cho2017,7,62.0833
cho2017,8,59.0
cho2017,9,68.3333
cho2017,10,84.5
cho2017,11,74.5
cho2017,12,68.0
cho2017,13,48.0
cho2017,14,90.5
cho2017,15,85.0
cho2017,16,60.0
cho2017,17,54.5
cho2017,18,77.0
cho2017,19,67.5
cho2017,20,63.5
cho2017,21,72.0
cho2017,22,67.0
cho2017,23,80.5
cho2017,24,70.0
cho2017,25,76.0
cho2017,26,74.5
cho2017,27,54.0
cho2017,28,50.0
cho2017,29,60.5
cho2017,30,65.0
cho2017,31,64.0
cho2017,32,55.5
cho2017,33,68.5
cho2017,34,59.5
cho2017,35,60.5
cho2017,36,69.0
cho2017,37,49.0
cho2017,38,72.0
cho2017,39,74.5
cho2017,40,53.0
cho2017,41,97.0
cho2017,42,64.0
cho2017,43,97.0
cho2017,44,74.0
cho2017,45,69.5
cho2017,46,77.0833
cho2017,47,71.5
cho2017,48,95.5
cho2017,49,68.0
cho2017,50,69.5
cho2017,51,62.5
cho2017,52,71.0
lee2019,1,86.0
lee2019,2,73.0
lee2019,3,88.0
lee2019,4,57.5
lee2019,5,92.0
lee2019,6,71.5
lee2019,7,66.0
lee2019,8,81.0
lee2019,9,85.0
lee2019,10,68.5
lee2019,11,55.0
lee2019,12,69.5
lee2019,13,63.0
lee2019,14,79.5
lee2019,15,55.0
lee2019,16,64.0
lee2019,17,64.0
lee2019,18,91.0
lee2019,19,78.0
lee2019,20,72.5
lee2019,21,87.0
lee2019,22,69.5
lee2019,23,74.0
lee2019,24,60.5
lee2019,25,61.0
lee2019,26,64.0
lee2019,27,56.0
lee2019,28,86.5
lee2019,29,62.5
lee2019,30,66.0
lee2019,31,63.0
lee2019,32,93.5
lee2019,33,94.0
lee2019,34,48.5
lee2019,35,55.0
lee2019,36,94.5
lee2019,37,96.5
lee2019,38,64.5
lee2019,39,87.0
lee2019,40,63.0
lee2019,41,54.5
lee2019,42,72.5
lee2019,43,67.0
lee2019,44,88.0
lee2019,45,79.0
lee2019,46,73.5
lee2019,47,74.0
lee2019,48,58.0
lee2019,49,67.5
lee2019,50,54.5
lee2019,51,66.0
lee2019,52,64.0
lee2019,53,66.0
lee2019,54,62.5
