dataset,subject,acc
cho2017,1,71.0
cho2017,2,56.5
cho2017,3,92.5
cho2017,4,83.0
cho2017,5,67.5
cho2017,6,62.5
cho2017,7,54.58
cho2017,8,58.5
cho2017,9,63.33
cho2017,10,78.0
cho2017,11,64.0
cho2017,12,73.5
cho2017,13,53.5
cho2017,14,95.5
cho2017,15,70.5
cho2017,16,63.5
cho2017,17,53.0
cho2017,18,65.5
cho2017,19,67.0
cho2017,20,72.0
cho2017,21,76.0
cho2017,22,69.0
cho2017,23,73.5
cho2017,24,65.5
cho2017,25,70.5
cho2017,26,60.5
cho2017,27,65.0
cho2017,28,41.0
cho2017,29,53.0
cho2017,30,61.0
cho2017,31,68.0
cho2017,32,51.0
cho2017,33,62.5
cho2017,34,45.0
cho2017,35,49.5
cho2017,36,74.0
cho2017,37,54.0
cho2017,38,64.0
cho2017,39,73.0
cho2017,40,50.5
cho2017,41,86.0
cho2017,42,63.5
cho2017,43,96.0
cho2017,44,69.0
cho2017,45,66.5
cho2017,46,68.33
cho2017,47,70.0
cho2017,48,82.5
cho2017,49,71.0
cho2017,50,63.5
cho2017,51,63.5
cho2017,52,68.0
lee2019,1,62.0
lee2019,2,63.0
lee2019,3,75.5
lee2019,4,52.5
lee2019,5,74.0
lee2019,6,57.5
lee2019,7,51.5
lee2019,8,65.0
lee2019,9,78.0
lee2019,10,56.5
lee2019,11,49.5
lee2019,12,60.5
lee2019,13,54.0
lee2019,14,61.5
lee2019,15,58.0
lee2019,16,56.0
lee2019,17,64.0
lee2019,18,80.5
lee2019,19,81.0
lee2019,20,54.0
lee2019,21,87.5
lee2019,22,60.5
lee2019,23,82.0
lee2019,24,56.0
lee2019,25,56.0
lee2019,26,56.0
lee2019,27,55.0
lee2019,28,74.5
lee2019,29,83.5
lee2019,30,51.0
lee2019,31,63.5
lee2019,32,80.0
lee2019,33,82.0
lee2019,34,50.5
lee2019,35,48.5
lee2019,36,86.0
lee2019,37,82.5
lee2019,38,60.5
lee2019,39,66.5
lee2019,40,52.5
lee2019,41,54.0
lee2019,42,53.5
lee2019,43,62.0
lee2019,44,86.0
lee2019,45,68.0
lee2019,46,59.5
lee2019,47,56.5
lee2019,48,53.5
lee2019,49,60.5
lee2019,50,52.5
lee2019,51,58.5
lee2019,52,62.5
lee2019,53,58.0
lee2019,54,58.0
