dataset,subject,acc
cho2017,1,64.0
cho2017,2,63.5
cho2017,3,92.0
cho2017,4,92.5
cho2017,5,63.5
cho2017,6,64.0
cho2017,7,65.0
cho2017,8,51.5
cho2017,9,72.5
cho2017,10,83.0
cho2017,11,68.5
cho2017,12,73.5
cho2017,13,54.5
cho2017,14,88.5
cho2017,15,78.5
cho2017,16,69.5
cho2017,17,53.5
cho2017,18,73.0
cho2017,19,72.0
cho2017,20,66.0
cho2017,21,83.5
cho2017,22,71.0
cho2017,23,87.0
cho2017,24,70.0
cho2017,25,79.0
cho2017,26,71.5
cho2017,27,63.0
cho2017,28,50.5
cho2017,29,56.5
cho2017,30,71.0
cho2017,31,69.5
cho2017,32,52.0
cho2017,33,65.0
cho2017,34,57.0
cho2017,35,61.0
cho2017,36,65.5
cho2017,37,47.5
cho2017,38,65.5
cho2017,39,77.0
cho2017,40,48.5
cho2017,41,94.5
cho2017,42,67.0
cho2017,43,96.0
cho2017,44,75.5
cho2017,45,66.5
cho2017,46,82.1
cho2017,47,70.0
cho2017,48,94.0
cho2017,49,68.0
cho2017,50,64.5
cho2017,51,68.5
cho2017,52,76.0
lee2019,1,85.0
lee2019,2,84.5
lee2019,3,91.5
lee2019,4,61.0
lee2019,5,89.0
lee2019,6,69.5
lee2019,7,61.5
lee2019,8,73.0
lee2019,9,80.5
lee2019,10,66.0
lee2019,11,61.0
lee2019,12,67.5
lee2019,13,62.0
lee2019,14,79.0
lee2019,15,56.5
lee2019,16,63.0
lee2019,17,69.5
lee2019,18,86.5
lee2019,19,83.5
lee2019,20,74.0
lee2019,21,94.0
lee2019,22,77.0
lee2019,23,79.5
lee2019,24,59.5
lee2019,25,61.0
lee2019,26,65.5
lee2019,27,57.0
lee2019,28,92.0
lee2019,29,70.0
lee2019,30,70.0
lee2019,31,68.0
lee2019,32,92.5
lee2019,33,96.5
lee2019,34,44.5
lee2019,35,52.0
lee2019,36,97.5
lee2019,37,95.5
lee2019,38,59.0
lee2019,39,84.0
lee2019,40,67.0
lee2019,41,57.0
lee2019,42,71.5
lee2019,43,80.0
lee2019,44,90.5
lee2019,45,81.0
lee2019,46,77.5
lee2019,47,79.0
lee2019,48,62.5
lee2019,49,77.0
lee2019,50,57.5
lee2019,51,63.5
lee2019,52,67.0
lee2019,53,67.0
lee2019,54,61.5
