dataset,subject,acc
cho2017,1,68.0
cho2017,2,63.0
cho2017,3,91.0
cho2017,4,90.0
cho2017,5,74.5
cho2017,6,67.5
cho2017,7,56.25
cho2017,8,60.5
cho2017,9,70.0
cho2017,10,86.5
cho2017,11,68.0
cho2017,12,75.5
cho2017,13,55.0
cho2017,14,90.0
cho2017,15,76.0
cho2017,16,61.5
cho2017,17,52.5
cho2017,18,70.5
cho2017,19,68.5
cho2017,20,68.0
cho2017,21,83.0
cho2017,22,78.0
cho2017,23,84.0
cho2017,24,72.5
cho2017,25,78.5
cho2017,26,68.5
cho2017,27,56.5
cho2017,28,49.0
cho2017,29,55.0
cho2017,30,60.0
cho2017,31,71.0
cho2017,32,55.0
cho2017,33,61.5
cho2017,34,50.0
cho2017,35,61.5
cho2017,36,64.5
cho2017,37,49.5
cho2017,38,55.5
cho2017,39,75.0
cho2017,40,54.5
cho2017,41,91.0
cho2017,42,65.5
cho2017,43,98.0
cho2017,44,77.5
cho2017,45,66.0
cho2017,46,80.0
cho2017,47,71.5
cho2017,48,91.0
cho2017,49,71.5
cho2017,50,61.5
cho2017,51,63.5
cho2017,52,73.0
lee2019,1,85.5
lee2019,2,75.0
lee2019,3,85.5
lee2019,4,53.5
lee2019,5,91.0
lee2019,6,68.5
lee2019,7,65.0
lee2019,8,79.5
lee2019,9,77.0
