dataset,subject,acc
cho2017,1,63.5
cho2017,2,60.0
cho2017,3,91.5
cho2017,4,93.5
cho2017,5,65.5
cho2017,6,62.5
cho2017,7,59.2
cho2017,8,56.0
cho2017,9,65.8
cho2017,10,82.5
cho2017,11,68.5
cho2017,12,71.0
cho2017,13,51.0
cho2017,14,90.5
cho2017,15,79.5
cho2017,16,58.5
cho2017,17,53.0
cho2017,18,70.5
cho2017,19,68.0
cho2017,20,62.0
cho2017,21,81.0
cho2017,22,78.0
cho2017,23,89.0
cho2017,24,72.5
cho2017,25,80.5
cho2017,26,68.0
cho2017,27,53.5
cho2017,28,48.0
cho2017,29,58.5
cho2017,30,61.0
cho2017,31,74.0
cho2017,32,51.5
cho2017,33,65.0
cho2017,34,51.5
cho2017,35,61.0
cho2017,36,68.5
cho2017,37,47.5
cho2017,38,60.5
cho2017,39,72.5
cho2017,40,54.0
cho2017,41,95.5
cho2017,42,71.0
cho2017,43,97.0
cho2017,44,78.0
cho2017,45,63.0
cho2017,46,79.2
cho2017,47,74.0
cho2017,48,95.0
cho2017,49,69.5
cho2017,50,65.5
cho2017,51,65.0
cho2017,52,71.0
lee2019,1,86.5
lee2019,2,80.5
lee2019,3,83.5
lee2019,4,55.0
lee2019,5,89.5
lee2019,6,71.5
lee2019,7,59.5
lee2019,8,79.0
lee2019,9,85.5
lee2019,10,65.5
lee2019,11,58.0
lee2019,12,70.5
lee2019,13,57.0
lee2019,14,78.5
lee2019,15,52.0
lee2019,16,60.5
lee2019,17,71.5
lee2019,18,90.5
lee2019,19,84.5
lee2019,20,69.5
lee2019,21,87.0
lee2019,22,73.5
lee2019,23,77.5
lee2019,24,57.5
lee2019,25,63.0
lee2019,26,61.0
lee2019,27,55.0
lee2019,28,92.5
lee2019,29,67.5
lee2019,30,70.5
lee2019,31,64.5
lee2019,32,95.5
lee2019,33,88.0
lee2019,34,46.5
lee2019,35,54.5
lee2019,36,95.0
lee2019,37,97.5
lee2019,38,64.0
lee2019,39,80.5
lee2019,40,58.5
lee2019,41,51.5
lee2019,42,68.5
lee2019,43,71.0
lee2019,44,90.5
lee2019,45,76.5
lee2019,46,72.0
lee2019,47,74.5
lee2019,48,56.5
lee2019,49,66.5
lee2019,50,51.0
lee2019,51,64.5
lee2019,52,73.0
lee2019,53,60.0
lee2019,54,62.5
