dataset,subject,acc
cho2017,1,69.0
cho2017,2,57.0
cho2017,3,90.5
cho2017,4,90.0
cho2017,5,71.5
cho2017,6,64.0
cho2017,7,60.4167
cho2017,8,57.5
cho2017,9,73.3333
cho2017,10,86.0
cho2017,11,69.5
cho2017,12,72.5
cho2017,13,48.5
cho2017,14,93.0
cho2017,15,75.5
cho2017,16,68.5
cho2017,17,53.0
cho2017,18,64.5
cho2017,19,71.0
cho2017,20,73.5
cho2017,21,82.5
cho2017,22,73.5
cho2017,23,90.5
cho2017,24,74.0
cho2017,25,80.0
cho2017,26,71.5
cho2017,27,59.0
cho2017,28,50.0
cho2017,29,58.0
cho2017,30,67.0
cho2017,31,70.5
cho2017,32,49.5
cho2017,33,69.5
cho2017,34,52.0
cho2017,35,56.5
cho2017,36,73.5
cho2017,37,58.5
cho2017,38,64.5
cho2017,39,72.0
cho2017,40,52.0
cho2017,41,90.0
cho2017,42,64.5
cho2017,43,97.0
cho2017,44,81.0
cho2017,45,68.5
cho2017,46,82.9167
cho2017,47,74.5
cho2017,48,96.0
cho2017,49,68.5
cho2017,50,67.5
cho2017,51,65.5
cho2017,52,81.0
lee2019,1,85.5
lee2019,2,73.0
lee2019,3,88.5
lee2019,4,64.0
lee2019,5,90.5
lee2019,6,72.5
lee2019,7,65.5
lee2019,8,76.5
lee2019,9,81.0
lee2019,10,67.5
lee2019,11,55.0
lee2019,12,65.5
lee2019,13,61.5
lee2019,14,76.0
lee2019,15,52.5
lee2019,16,62.0
lee2019,17,67.5
lee2019,18,90.0
lee2019,19,83.0
lee2019,20,72.0
lee2019,21,95.0
lee2019,22,76.5
lee2019,23,77.0
lee2019,24,53.0
lee2019,25,60.5
lee2019,26,62.0
lee2019,27,58.5
lee2019,28,89.0
lee2019,29,78.5
lee2019,30,71.0
lee2019,31,64.0
lee2019,32,89.0
lee2019,33,95.5
lee2019,34,44.0
lee2019,35,49.5
lee2019,36,95.0
lee2019,37,95.5
lee2019,38,61.0
lee2019,39,83.5
lee2019,40,60.5
lee2019,41,59.5
lee2019,42,71.5
lee2019,43,69.5
lee2019,44,91.5
lee2019,45,80.5
lee2019,46,77.0
lee2019,47,77.0
lee2019,48,55.0
lee2019,49,79.5
lee2019,50,56.5
lee2019,51,62.5
lee2019,52,64.0
lee2019,53,65.5
lee2019,54,61.5
