dataset,subject,acc
cho2017,1,68.0
cho2017,2,56.0
cho2017,3,93.5
cho2017,4,90.5
cho2017,5,74.0
cho2017,6,62.0
cho2017,7,64.1667
cho2017,8,55.5
cho2017,9,72.5
cho2017,10,87.5
cho2017,11,68.0
cho2017,12,74.5
cho2017,13,52.0
cho2017,14,96.0
cho2017,15,78.0
cho2017,16,68.0
cho2017,17,55.0
cho2017,18,72.0
cho2017,19,72.5
cho2017,20,67.5
cho2017,21,85.0
cho2017,22,72.5
cho2017,23,90.0
cho2017,24,76.0
cho2017,25,79.5
cho2017,26,73.0
cho2017,27,54.0
cho2017,28,50.5
cho2017,29,59.0
cho2017,30,70.5
cho2017,31,69.5
cho2017,32,52.0
cho2017,33,69.5
cho2017,34,52.5
cho2017,35,59.0
cho2017,36,69.0
cho2017,37,54.5
cho2017,38,68.0
cho2017,39,79.5
cho2017,40,52.0
cho2017,41,95.0
cho2017,42,69.0
cho2017,43,97.5
cho2017,44,81.5
cho2017,45,70.5
cho2017,46,81.6667
cho2017,47,76.5
cho2017,48,95.5
cho2017,49,68.0
cho2017,50,69.5
cho2017,51,70.0
cho2017,52,78.0
lee2019,1,88.5
lee2019,2,77.0
lee2019,3,88.5
lee2019,4,59.0
lee2019,5,92.0
lee2019,6,71.5
lee2019,7,63.0
lee2019,8,75.5
lee2019,9,78.5
lee2019,10,69.5
lee2019,11,58.5
lee2019,12,70.5
lee2019,13,58.5
lee2019,14,85.0
lee2019,15,63.0
lee2019,16,61.0
lee2019,17,71.0
lee2019,18,86.0
lee2019,19,84.5
lee2019,20,71.0
lee2019,21,91.5
lee2019,22,77.5
lee2019,23,78.5
lee2019,24,56.5
lee2019,25,63.5
lee2019,26,63.5
lee2019,27,57.5
lee2019,28,91.0
lee2019,29,63.0
lee2019,30,74.0
lee2019,31,70.0
lee2019,32,96.5
lee2019,33,97.0
lee2019,34,50.0
lee2019,35,54.5
lee2019,36,95.5
lee2019,37,96.0
lee2019,38,54.5
lee2019,39,82.5
lee2019,40,64.0
lee2019,41,58.0
lee2019,42,72.0
lee2019,43,75.5
lee2019,44,85.0
lee2019,45,79.0
lee2019,46,77.0
lee2019,47,77.5
lee2019,48,56.0
lee2019,49,72.5
lee2019,50,58.0
lee2019,51,66.5
lee2019,52,68.5
lee2019,53,59.5
lee2019,54,61.5
