dataset,subject,acc
cho2017,1,66.5
cho2017,2,55.0
cho2017,3,93.0
cho2017,4,90.0
cho2017,5,66.5
cho2017,6,63.5
cho2017,7,61.25
cho2017,8,56.0
cho2017,9,72.9167
cho2017,10,85.0
cho2017,11,75.5
cho2017,12,69.5
cho2017,13,49.5
cho2017,14,91.5
cho2017,15,84.5
cho2017,16,61.0
cho2017,17,53.0
cho2017,18,77.5
cho2017,19,68.0
cho2017,20,63.0
cho2017,21,75.5
cho2017,22,65.5
cho2017,23,79.0
cho2017,24,70.5
cho2017,25,78.0
cho2017,26,75.5
cho2017,27,51.5
cho2017,28,49.0
cho2017,29,58.5
cho2017,30,66.5
cho2017,31,72.5
cho2017,32,54.0
cho2017,33,72.5
cho2017,34,56.5
cho2017,35,59.5
cho2017,36,67.5
cho2017,37,51.5
cho2017,38,69.0
cho2017,39,72.5
cho2017,40,49.5
cho2017,41,95.0
cho2017,42,62.5
cho2017,43,96.5
cho2017,44,75.5
cho2017,45,70.0
cho2017,46,75.8333
cho2017,47,70.0
cho2017,48,96.0
cho2017,49,62.5
cho2017,50,69.0
cho2017,51,62.0
cho2017,52,76.5
lee2019,1,85.5
lee2019,2,74.5
lee2019,3,88.5
lee2019,4,57.0
lee2019,5,91.0
lee2019,6,69.5
lee2019,7,66.0
lee2019,8,77.0
lee2019,9,84.0
lee2019,10,69.0
lee2019,11,56.5
lee2019,12,68.0
lee2019,13,62.0
lee2019,14,78.5
lee2019,15,53.0
lee2019,16,65.0
lee2019,17,61.5
lee2019,18,93.0
lee2019,19,81.5
lee2019,20,74.0
lee2019,21,94.5
lee2019,22,78.0
lee2019,23,71.5
lee2019,24,57.5
lee2019,25,59.5
lee2019,26,63.5
lee2019,27,53.5
lee2019,28,87.5
lee2019,29,62.0
lee2019,30,65.5
lee2019,31,70.0
lee2019,32,92.5
lee2019,33,94.5
lee2019,34,45.0
lee2019,35,55.0
lee2019,36,94.5
lee2019,37,97.5
lee2019,38,66.0
lee2019,39,88.0
lee2019,40,63.0
lee2019,41,52.5
lee2019,42,72.0
lee2019,43,64.0
lee2019,44,90.0
lee2019,45,79.0
lee2019,46,77.0
lee2019,47,76.0
lee2019,48,57.0
lee2019,49,73.0
lee2019,50,60.0
lee2019,51,64.0
lee2019,52,66.5
lee2019,53,64.0
lee2019,54,62.5
