dataset,subject,acc
cho2017,1,65.0
cho2017,2,54.0
cho2017,3,89.5
cho2017,4,90.0
cho2017,5,63.0
cho2017,6,57.0
cho2017,7,62.0833
cho2017,8,58.5
cho2017,9,74.1667
cho2017,10,86.0
cho2017,11,63.5
cho2017,12,61.0
cho2017,13,48.0
cho2017,14,84.5
cho2017,15,67.0
cho2017,16,59.0
cho2017,17,49.5
cho2017,18,68.5
cho2017,19,64.5
cho2017,20,56.5
cho2017,21,63.5
cho2017,22,72.5
cho2017,23,80.0
cho2017,24,75.0
cho2017,25,74.5
cho2017,26,72.5
cho2017,27,49.0
cho2017,28,54.5
cho2017,29,64.5
cho2017,30,59.5
cho2017,31,66.5
cho2017,32,52.5
cho2017,33,63.0
cho2017,34,49.0
cho2017,35,56.0
cho2017,36,67.5
cho2017,37,50.0
cho2017,38,64.0
cho2017,39,53.0
cho2017,40,52.5
cho2017,41,94.0
cho2017,42,72.0
cho2017,43,97.0
cho2017,44,67.0
cho2017,45,58.5
cho2017,46,72.9167
cho2017,47,66.5
cho2017,48,92.5
cho2017,49,63.0
cho2017,50,57.0
cho2017,51,63.0
cho2017,52,64.0
lee2019,1,85.5
lee2019,2,69.5
lee2019,3,84.5
lee2019,4,59.5
lee2019,5,89.5
lee2019,6,67.5
lee2019,7,62.5
lee2019,8,76.5
lee2019,9,81.5
lee2019,10,58.0
lee2019,11,57.0
lee2019,12,72.0
lee2019,13,54.5
lee2019,14,77.0
lee2019,15,53.5
lee2019,16,58.5
lee2019,17,60.0
lee2019,18,85.0
lee2019,19,68.0
lee2019,20,67.5
lee2019,21,88.5
lee2019,22,70.0
lee2019,23,79.5
lee2019,24,59.5
lee2019,25,58.0
lee2019,26,62.5
lee2019,27,51.5
lee2019,28,86.0
lee2019,29,73.0
lee2019,30,71.0
lee2019,31,62.5
lee2019,32,94.0
lee2019,33,93.0
lee2019,34,51.0
lee2019,35,55.0
lee2019,36,88.5
lee2019,37,96.0
lee2019,38,64.5
lee2019,39,82.5
lee2019,40,63.0
lee2019,41,53.5
lee2019,42,68.5
lee2019,43,68.0
lee2019,44,85.0
lee2019,45,79.0
lee2019,46,70.0
lee2019,47,63.0
lee2019,48,53.0
lee2019,49,71.0
lee2019,50,50.5
lee2019,51,62.0
lee2019,52,67.5
lee2019,53,65.5
lee2019,54,59.5
