method,description,cho2017_mean_acc,lee2019_mean_acc,avg_mean_acc,cho2017_n,lee2019_n
ea_snapshot_conformer,EA + Conformer + Snapshot(x6) ensemble,69.34,75.61,72.47,52,9
ea_supcon_adabn_cspnet,EA + SupCon + AdaBN,71.81,72.33,72.07,52,54
ea_snapshot_adabn_cspnet,EA + CSPNet + Snapshot(x6) + AdaBN,70.63,73.50,72.06,52,54
ea_tent_cspnet,EA + CSPNet + TENT,71.45,72.51,71.98,52,54
ea_subjclust_tau5_cspnet,EA + CSPNet + Subject Clustering (τ=5) + AdaBN,71.18,72.50,71.84,52,54
ea_adabn_cspnet,EA + CSPNet + AdaBN (test-time BN update),71.04,72.22,71.63,52,54
ea_cspnet,EA + CSPNet (best baseline),71.43,71.69,71.56,52,54
ea_snapshot_adabn_x4_cspnet,ea_snapshot_adabn_x4_cspnet,70.06,72.94,71.50,52,54
ea_snapshot_adabn_x3_cspnet,ea_snapshot_adabn_x3_cspnet,70.25,72.59,71.42,52,54
ea_adabn_conformer,EA + EEGConformer + AdaBN (test-time BN update),70.46,72.30,71.38,52,54
ea_supcon_coral_cspnet,EA + SupCon + CORAL feature alignment (λ=0.1),71.43,71.26,71.34,52,54
ea_supcon_cspnet,EA + SupCon (Supervised Contrastive) + CSPNet,71.23,71.46,71.34,52,54
ea_subjclust_tau1_cspnet,EA + CSPNet + Subject Clustering (τ=1) + AdaBN,70.58,71.83,71.20,52,54
ea_adabn_eegnet,EA + EEGNet + AdaBN,69.89,71.62,70.75,52,54
ea_tent_eegnet,EA + EEGNet + TENT,69.39,71.69,70.54,52,54
ea_eegnet,EA + EEGNet,69.55,71.36,70.45,52,54
ea_snapshot_eegnet,EA + EEGNet + Snapshot(x6) ensemble,69.08,71.05,70.06,52,54
ea_cspnet_style_aug,EA + CSPNet + Covariance Style Transfer Augmentation (p=0.5),68.30,71.17,69.73,52,54
ea_conformer,EA + EEGConformer,69.37,69.69,69.53,52,54
dann_cspnet,"DANN (Domain-Adversarial, no EA)",65.00,70.78,67.89,52,54
cspnet_noea,CSPNet without EA,65.77,69.99,67.88,52,54
ea_tent_conformer,EA + EEGConformer + TENT,66.88,68.77,67.82,52,54
eegnet_noea,EEGNet without EA,65.93,69.50,67.72,52,54
conformer_noea,EEGConformer without EA,63.92,68.95,66.44,52,54
ea_csp_lda,EA + CSP-LDA,66.75,64.10,65.42,52,54
ea_kmm_tradaboost,EA + KMM-TrAdaBoost (within-dataset),66.53,63.56,65.05,52,54
csp_lda,"CSP-LDA baseline, no EA",60.66,62.78,61.72,52,54
